"Object","Category",,,,,,
" 2019 RIVER OF GOLD  PRECOLUMBIAN TREASURES FROM SITIO CONTE PANAMA  1992 EXHIBITION","america",,,,,,
" 2018 METAL DETECTING FINDS - QUALITY COLLECTION OF ROMAN/MEDIEVEL/TUDOR & OTHER","roman",,,,,,
" 2018 ancient Viking Large bell Sea shell REALLY ancient","viking",,,,,,
" 2018 Very  old amazing  Egyptian faience  animal  amuelt","egyptian",,,,,,
" 2018 Battle Kisten","  Kievan Rus -  Vikings  - 10 - 13th century AD","viking",,,,,
" 2019 lot of Roman bronze objects","roman",,,,,,
" 2018 HIGHLY UNUSUAL - CIRCA 660-330BC - ANCIENT EGYPTIAN CURSE TOKEN","egyptian",,,,,,
" 2018 ANCIENT ROMAN BRONZE APPLIQUE / MOUNT","roman",,,,,,
" 2019 Lot of 7 terracotta Greco Roman heads Egypt 1st century BC- 1st CE Harpocrates","greek",,,,,,
" 2018 4 Ancient Neolithic Flint Scrapers"," Stone Age"," VERY RARE !!  TOP !!","pre-historic",,,,
" 2018 ANTIQUE INTAGLIO PHOENIX GREEK ROMAN AGATE CARNELIAN STONE RARE!! Gift","greek",,,,,,
" 2018 LOT OF 4pcs. ANCIENT ROMAN IRON KNIVES"," WELL CLEANED AND PRESERVED!!!","roman",,,,,
" 2019 GROUP OF ANCIENT ROMAN LEAD ARTIFACTS","roman",,,,,,
" 2018 women's decorations of the Viking Age","viking",,,,,,
" 2018 AUTHENTIC MEDIEVAL VIKING MILITARY IRON D@GGER W/ HANDLE - L599","viking",,,,,,
" 2018 Rare Ancient Egyptian Faience Seated Horus 650-530 BC","egyptian",,,,,,
" 2018 Ancient egyptian antiquities","egyptian",,,,,,
" 2018 RARE 3000 BC Asian Alien Carving Stone Age Neolithic Ancient Artifact Hongshan A","pre-historic",,,,,,
" 2018 Amazing Egyptian faience embossed animal face","egyptian",,,,,,
" 2018 CELTIC BRONZE ZOOMORPHIC HORSE ARTIFACT","celt",,,,,,
" 2018 AMAZING LARGE ROMAN GLASS FLAGON WITH HANDLE - RARE","roman",,,,,,
" 2018 ANCIENT ROMAN CIRCA 100-300AD - ROMULUS & REMUS SUCKLING AT THE SHE-WOLF MOTHER.","roman",,,,,,
" 2018 Fantastic Celtic bronze wheel Parisii Celts – France","celt",,,,,,
" 2018 Rare Ancient Egyptian Scribe - Old Kingdom (2494-2345 BC)","egyptian",,,,,,
" 2018 RARE BACTRIAN CA.1000 BC CARNELIAN STONE CARVED AS LION - WEREABLE GIFT-  E38","near east",,,,,,
" 2018 Vintage Egyptian Set Of 2 Round Plates Unique Design Wall Hanging Art","egyptian",,,,,,
" 2018 Roman Horse Strap Fitting","roman",,,,,,
" 2018 Ancient Roman Bronze Lion -Decoration of Legionary Cuiras L=55x35x35mm 25gr","roman",,,,,,
" 2019 OLMEC  COLOSSAL MASTERWORKS OF ANCIENT MEXICO  LACMA  2011 HARDCOVER","america",,,,,,
" 2018 (2) Big Choice Sahara Neolithic Blades (2.5)"," Prehistoric African Artifacts","pre-historic",,,,,
" 2018 CELTIC BRONZE ARTEFACT EVIL EYE","celt",,,,,,
" 2018 #4 Ancient Roman 100-375AD","roman",,,,,,
" 2018 CIRCA 100-300 AD ROMAN BRONZE HANGER - VERY RARE","roman",,,,,,
" 2019 MUSEUM QUALITY INDUS VALLEY PAINTED PLATE CIRCA 1900-1000 BC","indus",,,,,,
" 2019 Franklin Mint"," The Fighting Men of the American Revolution - Connecticut Trumpet","america",,,,,
" 2018 HIGHLY UNUSUAL CIRCA 1075-332BC ANCIENT EGYPTIAN TOKEN W/HIEROGLYPHS","egyptian",,,,,,
" 2019  MASSIVE-ROMAN BRONZE WINGED PHALLUS FERTILITY SYMBOL 1st CENTURY BC-AD","roman",,,,,,
" 2018 24. Roman Lead Plomb - Head","roman",,,,,,
" 2018  SCARCE-MUSEUM QUALITY-Scandinavian Viking Bronze Dager-Horse Head-CA 900 AD","viking",,,,,,
" 2018 Beautiful Roman Bonz Botton","roman",,,,,,
" 2018 3256	Ancient Roman bronze leather strap end","roman",,,,,,
" 2018 Ancient silver jewelery temporal Vikings"," Kievan Rus 10-13 AD № 473/6","viking",,,,,
" 2018 HIGH QUALITY ANCIENT ROMAN GEMSTONE INTAGLIO - CIRCA 2ND AD  - NO RESERVE 01","roman",,,,,,
" 2018 3261	Ancient Roman massive bronzе bell","roman",,,,,,
" 2019 SAHARIAN Neolithic Terracotta DRILLED POT (repaired) - 105 mm dia x 5 mm height","pre-historic",,,,,,
" 2018 Large Rare Ancient Egyptian Faience Pharaoh (945-715 BC.)","egyptian",,,,,,
