Object,Price,Location,Link
"Sold  Feb 7, 2019 تراثA beautiful wooden masterpiece of a traditional character.",$1.04,,
"Sold  Feb 5, 2019 PAIR OF 1300 AD HOHOKAM BRACELETS FROM THE AUGIE MIER COLLECTION, BATAVIA, ILL.",$113.61,"Quincy, Illinois, United States",https://www.ebay.com/itm/PAIR-OF-1300-AD-HOHOKAM-BRACELETS-FROM-THE-AUGIE-MIER-COLLECTION-BATAVIA-ILL/392212434833?hash=item5b51aecf91%3Ag%3AfCAAAOSwb15cN53D&LH_Auction=1
"Sold  Feb 5, 2019 PAIR OF NICE AUTHENTIC HARDSTONE CELTS FROM OLD CHICAGO ARTIFACT COLLECTION",$37.56,"Mayfield, Kentucky, United States",https://www.ebay.com/itm/PAIR-OF-NICE-AUTHENTIC-HARDSTONE-CELTS-FROM-OLD-CHICAGO-ARTIFACT-COLLECTION/362530446540?hash=item54687f9ccc%3Ag%3AMgcAAOSwylBcN5rF&LH_Auction=1
"Sold  Feb 5, 2019 1905 COPY OF MOOREHEAD'S  ""PREHISTORIC RELICS"" FROM THE LIBRARY OF DAVID STILP",$66.01,"Coshocton, Ohio, United States",https://www.ebay.com/itm/1905-COPY-OF-MOOREHEADS-PREHISTORIC-RELICS-FROM-THE-LIBRARY-OF-DAVID-STILP/392212422335?hash=item5b51ae9ebf%3Ag%3AOJMAAOSwWrNcN5hv&LH_Auction=1
"Sold  Feb 5, 2019 RARE 1946 COPY OF THE JOURNAL OF THE ILLINOIS STATE ARCHAEOLOGICAL SOCIETY",$43.26,"Coshocton, Ohio, United States",https://www.ebay.com/itm/RARE-1946-COPY-OF-THE-JOURNAL-OF-THE-ILLINOIS-STATE-ARCHAEOLOGICAL-SOCIETY/362530434862?hash=item54687f6f2e%3Ag%3AQdAAAOSws%7EVcN5cv&LH_Auction=1
"Sold  Feb 5, 2019 HARDBACK COPY OF STONE AGE SPEAR & ARROW POINTS  FROM THE LIBRARY OF DAVID STILP",$172.50,"Jamestown, Kentucky, United States",https://www.ebay.com/itm/HARDBACK-COPY-OF-STONE-AGE-SPEAR-ARROW-POINTS-FROM-THE-LIBRARY-OF-DAVID-STILP/362530433382?hash=item54687f6966%3Ag%3AxWwAAOSwAopcN5Xs&LH_Auction=1
"Sold  Feb 5, 2019 ANTIQUE LOT OF 8 RAILROAD AND MAP PAMPHLETS",$4.99,"Fresno, California, United States",https://www.ebay.com/itm/ANTIQUE-LOT-OF-8-RAILROAD-AND-MAP-PAMPHLETS/223362269847?hash=item34016dc297%3Ag%3A%7E3MAAOSw-V1cUR%7En&LH_Auction=1
"Sold  Feb 5, 2019 ANTIQUE LOT OF 7 RAILROAD AND AIR LINE PAMPHLETS",$4.99,"Fresno, California, United States",https://www.ebay.com/itm/ANTIQUE-LOT-OF-7-RAILROAD-AND-AIR-LINE-PAMPHLETS/323677978522?hash=item4b5cb5ff9a%3Ag%3APYwAAOSwnQ1cUSTe&LH_Auction=1
"Sold  Feb 2, 2019 Taino Spirit From Hallucinogenic Mingling Of Animals PreColumbian",$100.00,"Gainesville, Florida, United States",https://www.ebay.com/itm/Taino-Spirit-From-Hallucinogenic-Mingling-Of-Animals-PreColumbian/254096779795?hash=item3b29592a13%3Ag%3A2o4AAOSwu3dbwLXT&LH_Auction=1
"Sold  Feb 1, 2019 Arquebus Lead Shot From the Golden Age of Pirates",$15.00,"Brooklyn, New York, United States",https://www.ebay.com/itm/Arquebus-Lead-Shot-From-the-Golden-Age-of-Pirates/292933142032?hash=item44342d0610%3Ag%3ANywAAOSwXI1cQHlD&LH_Auction=1
"Sold  Jan 30, 2019  Lot of Four Ancient Native American Celts, Grinders, Hammer,and Axe  Artifacts",$21.50,"Mesa, Arizona, United States",https://www.ebay.com/itm/Lot-of-Four-Ancient-Native-American-Celts-Grinders-Hammer-and-Axe-Artifacts/292931419530?hash=item443412bd8a%3Ag%3ACoYAAOSwgfRcSQWF&LH_Auction=1
"Sold  Jan 30, 2019 56th Inauguration Of POTUS Metropolitan Police Department Badge Set (Obama)",$100.00,"Los Angeles, California, United States",https://www.ebay.com/itm/56th-Inauguration-Of-POTUS-Metropolitan-Police-Department-Badge-Set-Obama/352576533935?hash=item521732f5af%3Ag%3A9OIAAOSwENVcJBWk&LH_Auction=1
"Sold  Jan 29, 2019 RARE 1946 COPY OF THE JOURNAL OF THE ILLINOIS STATE ARCHAEOLOGICAL SOCIETY",$26.99,"Coshocton, Ohio, United States",https://www.ebay.com/itm/RARE-1946-COPY-OF-THE-JOURNAL-OF-THE-ILLINOIS-STATE-ARCHAEOLOGICAL-SOCIETY/362524149522?hash=item54681f8712%3Ag%3AoeMAAOSwuNNcLTNW&LH_Auction=1
