Object,Price,Location,Link
"Sold  May 4, 2019 Ancient crosses Metal detector finds. MIX finds LOT 100% ORIGINAL",$55.00,"Klimovsk, Russian Federation",https://www.ebay.com/itm/Ancient-crosses-Metal-detector-finds-MIX-finds-LOT-100-ORIGINAL/323787984000?hash=item4b63448c80%3Ag%3A0pkAAOSwRV9cwJi8&LH_Auction=1
"Sold  May 3, 2019 Women’s Girl’s Leather Bracelet Adjust BB27",$0.99,,
"Sold  May 3, 2019 Women’s Girl’s Leather Bracelet Adjust BB28",$0.99,,
"Sold  May 3, 2019 Women’s Girl’s Leather Bracelet Adjust BB12",$0.99,,
"Sold  May 3, 2019 Women’s Girl’s Leather Bracelet Adjust BB25",$0.99,,
"Sold  May 3, 2019 Women’s Girl’s Leather Bracelet Adjust BB19",$0.99,,
"Sold  May 3, 2019 RARE LOT OF 3 pcs. ANTIQUE WEDDING RINGS (One Silver), METAL DETECTOR FINDS!!!",$24.99,"Sofia, Bulgaria",https://www.ebay.com/itm/RARE-LOT-OF-3-pcs-ANTIQUE-WEDDING-RINGS-One-Silver-METAL-DETECTOR-FINDS/273823252293?hash=item3fc1233f45%3Ag%3A%7Ei0AAOSwUHRciZfj&LH_Auction=1
"Sold  May 3, 2019 RARE Medieval European Sacred Holy Relic Catholic Orthadox Christian 800-1400 AD",$25.00,"Auburn, Alabama, United States",https://www.ebay.com/itm/RARE-Medieval-European-Sacred-Holy-Relic-Catholic-Orthadox-Christian-800-1400-AD/273829810137?hash=item3fc1874fd9%3Ag%3ARPcAAOSwxupcw7-r&LH_Auction=1
"Sold  May 2, 2019 Antique Antiquity Early Byzantine Empire Marble Constantine Cross Fragment yqz",$58.00,"Seaford, Delaware, United States",https://www.ebay.com/itm/Antique-Antiquity-Early-Byzantine-Empire-Marble-Constantine-Cross-Fragment-yqz/233206057772?hash=item364c2a0b2c%3Ag%3A9EUAAOSwfxtcviZM&LH_Auction=1
"Sold  May 2, 2019 ANCIENT BYZANTINE CRUSADERS BUCKLE WORKING PIN CIRCA 500-800AD",$1.30,"Didcot, United Kingdom",https://www.ebay.com/itm/ANCIENT-BYZANTINE-CRUSADERS-BUCKLE-WORKING-PIN-CIRCA-500-800AD/153462670686?hash=item23bb16855e%3Ag%3AEQkAAOSwu89cwEbI&LH_Auction=1
"Sold  May 2, 2019 Old Terracotta oil lamp Byzantine or Roman to identify",$30.00,"FiuriMainz, Germany",https://www.ebay.com/itm/Old-Terracotta-oil-lamp-Byzantine-or-Roman-to-identify/312587750459?hash=item48c7ae8c3b%3Ag%3A8YIAAOSwxLFcQN10&LH_Auction=1
"Sold  May 2, 2019 CIRCA 800-1000AD BYZANTINE ERA BRONZE BARREL WEIGHT",$1.30,"Didcot, United Kingdom",https://www.ebay.com/itm/CIRCA-800-1000AD-BYZANTINE-ERA-BRONZE-BARREL-WEIGHT/153462673297?hash=item23bb168f91%3Ag%3AdlMAAOSwK-NcwEf1&LH_Auction=1
