Object,Price,Location,Link
"Sold  Mar 3, 2019 Ancient Celtic Proto Money Bronze Ring ""Coin"" Circa 400 BC Very Rare",$3.25,"EU, Czech Republic",https://www.ebay.com/itm/Ancient-Celtic-Proto-Money-Bronze-Ring-Coin-Circa-400-BC-Very-Rare/223419008927?hash=item3404cf879f%3Ag%3A0MYAAOSwq5FccoVk&LH_Auction=1
"Sold  Mar 3, 2019 Ancient Celtic Proto Money Bronze Ring ""Coin"" Circa 400 BC Very Rare",$3.25,"EU, Czech Republic",https://www.ebay.com/itm/Ancient-Celtic-Proto-Money-Bronze-Ring-Coin-Circa-400-BC-Very-Rare/223419008927?hash=item3404cf879f%3Ag%3A0MYAAOSwq5FccoVk&LH_Auction=1
"Sold  Mar 3, 2019 Ancient Scythian / Vikings Arrowhead Circa 200 BC Very Rare",$3.25,"Kozarska Dubica, Bosnia and Herzegovina",https://www.ebay.com/itm/Ancient-Scythian-Vikings-Arrowhead-Circa-200-BC-Very-Rare/223418911476?hash=item3404ce0af4%3Ag%3AOGcAAOSwvmxccn4V&LH_Auction=1
"Sold  Mar 3, 2019 Ancient Scythian / Vikings Arrowhead Circa 200 BC Very Rare",$3.00,"Kozarska Dubica, Bosnia and Herzegovina",https://www.ebay.com/itm/Ancient-Scythian-Vikings-Arrowhead-Circa-200-BC-Very-Rare/223418911476?hash=item3404ce0af4%3Ag%3AOGcAAOSwvmxccn4V&LH_Auction=1
"Sold  Mar 3, 2019 Ancient Scythian / Vikings Arrowhead Circa 200 BC Very Rare",$3.25,"Kozarska Dubica, Bosnia and Herzegovina",https://www.ebay.com/itm/Ancient-Scythian-Vikings-Arrowhead-Circa-200-BC-Very-Rare/223418911476?hash=item3404ce0af4%3Ag%3AOGcAAOSwvmxccn4V&LH_Auction=1
"Sold  Mar 3, 2019 Ancient Celtic Bronze bells Lot of 10 pieces",$14.00,"Kozarska Dubica, Bosnia and Herzegovina",https://www.ebay.com/itm/Ancient-Celtic-Bronze-bells-Lot-of-10-pieces/223412043178?hash=item3404653daa%3Ag%3AHO4AAOSwCiRcbnlv&LH_Auction=1
"Sold  Mar 2, 2019 Saber / Sword of Khazar Khaganate (about 8 - 9 centuries) ORIGINAL! Length 93 cm",$156.50,"Kiev, Ukraine",https://www.ebay.com/itm/Saber-Sword-of-Khazar-Khaganate-about-8-9-centuries-ORIGINAL-Length-93-cm/273717324239?hash=item3fbad2e9cf%3Ag%3Apb0AAOSwlG5cbWom&LH_Auction=1
"Sold  Mar 2, 2019 ** SNAKE HEADS ** ancient  SILVER CELTIC RING !!!",$86.00,,
"Sold  Mar 2, 2019 ANCIENT CELTIC BRONZE WEDDING RING CIRCA 200-100 BC VERY RARE AND SCARCE",$0.99,"EU, Czech Republic",https://www.ebay.com/itm/ANCIENT-CELTIC-BRONZE-WEDDING-RING-CIRCA-200-100-BC-VERY-RARE-AND-SCARCE/303073370674?hash=item469094a232%3Ag%3AX9IAAOSwp-ZcXpaA&LH_Auction=1
"Sold  Mar 2, 2019 NICE ROMAN BELT BUCKLE",$11.01,"SR, Bosnia and Herzegovina",https://www.ebay.com/itm/NICE-ROMAN-BELT-BUCKLE/273725656976?hash=item3fbb520f90%3Ag%3ArvcAAOSwpOVccadC&LH_Auction=1
"Sold  Mar 1, 2019 ANCIENT CELTIC  LEAD AMULET BEAUTIFUL PATINA    Weight 61.91 g  100% AUTHENTIC",$9.00,"Frankfurt, Germany",https://www.ebay.com/itm/ANCIENT-CELTIC-LEAD-AMULET-BEAUTIFUL-PATINA-Weight-61-91-g-100-AUTHENTIC/173807465363?hash=item2877bb7393%3Ag%3AL3sAAOSwrw1ccEuE&LH_Auction=1
"Sold  Mar 1, 2019 COPPER AGE TERRACOTTA IDOL 3000 BC - 7 cm",$44.99,"Kozarska Dubica, Bosnia and Herzegovina",https://www.ebay.com/itm/COPPER-AGE-TERRACOTTA-IDOL-3000-BC-7-cm/132962958199?hash=item1ef535bb77%3Ag%3A65UAAOSweedccEpb&LH_Auction=1
"Sold  Mar 1, 2019 LOT OF 10 PREHISTORIC ANCIENT SCYTHIAN BRONZE ARROW HEADS - SUPERB LOT",$10.61,"Kozarska Dubica, Bosnia and Herzegovina",https://www.ebay.com/itm/LOT-OF-10-PREHISTORIC-ANCIENT-SCYTHIAN-BRONZE-ARROW-HEADS-SUPERB-LOT/132962952323?hash=item1ef535a483%3Ag%3AGL8AAOSwv%7ENccEjW&LH_Auction=1
"Sold  Mar 1, 2019 LOT OF 7 PREHISTORIC ANCIENT SCYTHIAN BRONZE ARROW HEADS - SUPERB LOT",$5.11,"Kozarska Dubica, Bosnia and Herzegovina",https://www.ebay.com/itm/LOT-OF-7-PREHISTORIC-ANCIENT-SCYTHIAN-BRONZE-ARROW-HEADS-SUPERB-LOT/132962950638?hash=item1ef5359dee%3Ag%3A8WkAAOSwCV5ccEgY&LH_Auction=1
"Sold  Mar 1, 2019 LOT OF 6 PIECES ANCIENT CELTIC DRUIDS VOTIVE BRONZE BELLS - 400/300 BC - WORKING",$21.71,"Kozarska Dubica, Bosnia and Herzegovina",https://www.ebay.com/itm/LOT-OF-6-PIECES-ANCIENT-CELTIC-DRUIDS-VOTIVE-BRONZE-BELLS-400-300-BC-WORKING/132962948539?hash=item1ef53595bb%3Ag%3A8qEAAOSwT8FccEdV&LH_Auction=1
"Sold  Feb 27, 2019 Sword of the Viking. The Vikings. Big Combat Sword. 92cm. SWORD VIKING ORIGINAL","$1,000.00","Bad Schwalbach, Germany",https://www.ebay.com/itm/Sword-of-the-Viking-The-Vikings-Big-Combat-Sword-92cm-SWORD-VIKING-ORIGINAL/401711990947?hash=item5d87e688a3%3Ag%3AngwAAOSwcOtcbXbY&LH_Auction=1
"Sold  Feb 27, 2019 Scythian akinak. Scythians. 8th century. 57 cm. Excellent condition. ORIGINAL",$2.25,"Bad Schwalbach, Germany",https://www.ebay.com/itm/Scythian-akinak-Scythians-8th-century-57-cm-Excellent-condition-ORIGINAL/401711972093?hash=item5d87e63efd%3Ag%3ALaQAAOSwk4hcbXHb&LH_Auction=1
"Sold  Feb 27, 2019 Saber / Sword of Khazar Khaganate (about 8 - 9 centuries) ORIGINAL! Length 80 cm",$52.00,"Europe, Ukraine",https://www.ebay.com/itm/Saber-Sword-of-Khazar-Khaganate-about-8-9-centuries-ORIGINAL-Length-80-cm/273717390681?hash=item3fbad3ed59%3Ag%3AUu4AAOSwGFZcbWxI&LH_Auction=1
"Sold  Feb 27, 2019 Nice & Large - Pre coin  - AR - 8,88 Gm",$10.00,"Madrid, Spain",https://www.ebay.com/itm/Nice-Large-Pre-coin-AR-8-88-Gm/362562825216?hash=item546a6dac00%3Ag%3AWOYAAOSw5LZcbeIa&LH_Auction=1
"Sold  Feb 27, 2019 RARE Celtic Ring Money Proto Coin From 800 BC Artifact Valued $300 Ancient",$9.95,"EU, Czech Republic",https://www.ebay.com/itm/RARE-Celtic-Ring-Money-Proto-Coin-From-800-BC-Artifact-Valued-300-Ancient/273719313114?hash=item3fbaf142da%3Ag%3AXmkAAOSwxL1cXOpj&LH_Auction=1
"Sold  Feb 27, 2019 ANCIENT IRON CELTIC AXE",$19.00,"Nis, default, Serbia",https://www.ebay.com/itm/ANCIENT-IRON-CELTIC-AXE/183698854202?hash=item2ac54e113a%3Ag%3AVjgAAOSwkCZcYFnt&LH_Auction=1
"Sold  Feb 27, 2019 ANCIENT BRONZE  EARLY CELTIC AXE #2",$52.00,"Niš, default, Serbia",https://www.ebay.com/itm/ANCIENT-BRONZE-EARLY-CELTIC-AXE-2/183698853868?hash=item2ac54e0fec%3Ag%3A2q4AAOSwqctcYFls&LH_Auction=1
"Sold  Feb 27, 2019 ANCIENT BRONZE CELTIC AXE",$42.00,"London, United Kingdom",https://www.ebay.com/itm/ANCIENT-BRONZE-CELTIC-AXE/183698852131?hash=item2ac54e0923%3Ag%3AZ8QAAOSwTHlccFBa&LH_Auction=1
"Sold  Feb 27, 2019 3 Ancient Celtic Glass Beads Celts VERY RARE!  TOP !!",$13.16,"Bavaria, Germany",https://www.ebay.com/itm/3-Ancient-Celtic-Glass-Beads-Celts-VERY-RARE-TOP/143143536220?hash=item215405065c%3Ag%3AgIUAAOSwmetccA1l&LH_Auction=1
"Sold  Feb 26, 2019 CELTIC ** Bronze RING ** WEDDING BAND ** GREAT",$0.99,"EU, Czech Republic",https://www.ebay.com/itm/CELTIC-Bronze-RING-WEDDING-BAND-GREAT/163553536848?hash=item26148ceb50%3Ag%3A53gAAOSwuKNcbF8l&LH_Auction=1
"Sold  Feb 26, 2019 Ancient Celtic Proto Money Bronze Ring ""Coin"" Circa 400 BC Very Rare",$0.99,"EU, Czech Republic",https://www.ebay.com/itm/Ancient-Celtic-Proto-Money-Bronze-Ring-Coin-Circa-400-BC-Very-Rare/223403761555?hash=item3403e6df93%3Ag%3AxWIAAOSwwStcYFlG&LH_Auction=1
"Sold  Feb 25, 2019 Helmet of ancient Rus-12 century - ""Polovtsy"". Original condition. Without resto",$762.50,"Bad Schwalbach, Germany",https://www.ebay.com/itm/Helmet-of-ancient-Rus-12-century-Polovtsy-Original-condition-Without-resto/273708970939?hash=item3fba5373bb%3Ag%3A1ckAAOSwEwNcXhm8&LH_Auction=1
"Sold  Feb 24, 2019 VERY RARE Pottery Celtic Cup , circa 500-300 BC.",$26.87,,
"Sold  Feb 24, 2019 Ancient Celtic Finger Ring",$30.00,"Venice, Florida, United States",https://www.ebay.com/itm/Ancient-Celtic-Finger-Ring/392241686706?hash=item5b536d28b2%3Ag%3AVbkAAOSwj85YO2F2&LH_Auction=1
"Sold  Feb 24, 2019 Small ( 1 1/4"" ) ancient Celtic fibula, well drawn bow, great patina missing pin",$1.00,"Europe, Ukraine",https://www.ebay.com/itm/Small-1-1-4-ancient-Celtic-fibula-well-drawn-bow-great-patina-missing-pin/123646350176?hash=item1cc9e59360%3Ag%3A0LYAAOSwqztcSk4i&LH_Auction=1
"Sold  Feb 24, 2019 PURE GOLD CELTIC ** TWISTED WIRE ** RING RARE !!!",$82.00,"Lummi Island, Washington, United States",https://www.ebay.com/itm/PURE-GOLD-CELTIC-TWISTED-WIRE-RING-RARE/153386497869?hash=item23b68c374d%3Ag%3AAvUAAOSwbh9cbHEl&LH_Auction=1
"Sold  Feb 24, 2019 bronze celt, socketed axe, axe head (video)",$34.00,"Kharkov, UA, Ukraine",https://www.ebay.com/itm/bronze-celt-socketed-axe-axe-head-video/323699119233?hash=item4b5df89481%3Ag%3AwAIAAOSwPVFcRyKv&LH_Auction=1
"Sold  Feb 24, 2019 Two head SNAKE ** CELTIC / ROMAN Bronze Bracelet  **",$0.99,"Niš, default, Serbia",https://www.ebay.com/itm/Two-head-SNAKE-CELTIC-ROMAN-Bronze-Bracelet/153385759795?hash=item23b680f433%3Ag%3A7KEAAOSwstNca%7Exr&LH_Auction=1
"Sold  Feb 24, 2019 Late Bronze Age sacral object",$127.50,"CYPRUS, Cyprus",https://www.ebay.com/itm/Late-Bronze-Age-sacral-object/292966752889?hash=item44362de279%3Ag%3Ai1IAAOSwUDZcaS6g&LH_Auction=1
"Sold  Feb 24, 2019 Late Bronze Age Socketed Axe",$90.90,"CYPRUS, Cyprus",https://www.ebay.com/itm/Late-Bronze-Age-Socketed-Axe/292966747692?hash=item44362dce2c%3Ag%3AkzUAAOSwhspb6xxT&LH_Auction=1
"Sold  Feb 24, 2019 Bronze Age buttoned brooch",$45.00,"EU, Ireland",https://www.ebay.com/itm/Bronze-Age-buttoned-brooch/292966746315?hash=item44362dc8cb%3Ag%3AECgAAOSw6EpcJTcX&LH_Auction=1
"Sold  Feb 24, 2019 Lot of 4 Bronze Age bracelet",$38.77,"Frederiksberg, Denmark",https://www.ebay.com/itm/Lot-of-4-Bronze-Age-bracelet/303065301403?hash=item469019819b%3Ag%3AeP8AAOSwiLZcaSyc&LH_Auction=1
