Object,Price,Location,Link
"Sold  May 3, 2019 Amazing rare Coptic Egyptian papyrus inscription in Greek and Latin LOT OF 4",$69.00,"Bergkirchen, Germany",https://www.ebay.com/itm/Amazing-rare-Coptic-Egyptian-papyrus-inscription-in-Greek-and-Latin-LOT-OF-4/133031769494?hash=item1ef94fb596%3Ag%3AG8AAAOSw0nhcpFf9&LH_Auction=1
"Sold  May 3, 2019 RARE ANCIENT EGYPTIAN ANTIQUE SCARAB Carved Stone",$35.00,,
"Sold  May 3, 2019 BEAUTIFUL ANCIENT EGYPTIAN FAIENCE SCARAB SEAL AMULET WITH HEIROGLYPHICS",$9.41,"Didcot, United Kingdom",https://www.ebay.com/itm/BEAUTIFUL-ANCIENT-EGYPTIAN-FAIENCE-SCARAB-SEAL-AMULET-WITH-HEIROGLYPHICS/153465732024?hash=item23bb453bb8%3Ag%3ANTsAAOSwaRRcpz0r&LH_Auction=1
"Sold  May 3, 2019 An Egyptian Pharaonic Cartonagge Fragments",$189.50,"., Turkey",https://www.ebay.com/itm/An-Egyptian-Pharaonic-Cartonagge-Fragments/352650716593?hash=item521b9ee5b1%3Ag%3A4ykAAOSwBJpcw2rB&LH_Auction=1
"Sold  May 3, 2019 An Egyptian Pharaonic Cartonagge Fragments",$96.00,"., Turkey",https://www.ebay.com/itm/An-Egyptian-Pharaonic-Cartonagge-Fragments/352650716593?hash=item521b9ee5b1%3Ag%3A4ykAAOSwBJpcw2rB&LH_Auction=1
"Sold  May 3, 2019 Ancient Egyptian Glazed Faience Large Scarab",$1.84,,
"Sold  May 3, 2019 Egyptian Glazed Faience Ushabti Shabti",$4.20,"Didcot, United Kingdom",https://www.ebay.com/itm/Egyptian-Glazed-Faience-Ushabti-Shabti/392284807782?hash=item5b55ff2266%3Ag%3AYwcAAOSwWtpcwyER&LH_Auction=1
"Sold  May 3, 2019 LARGE UNUSUAL CA.1300 BC EGYPTIAN FAIENCE EYE OF HORUS AMULET - WEARABLE - RARE",$22.30,,
"Sold  May 3, 2019 INTERESTING EGYPTIAN  CA.1300 BC BRONZE IBIS FIGURE - GOD THOTH - RARE",$4.20,"Uk, United Kingdom",https://www.ebay.com/itm/INTERESTING-EGYPTIAN-CA-1300-BC-BRONZE-IBIS-FIGURE-GOD-THOTH-RARE/153455297961?hash=item23baa605a9%3Ag%3A2wYAAOSww4Bct21n&LH_Auction=1
"Sold  May 3, 2019 Ancient Egyptian Shabti",$32.80,,
