Object,Price,Location,Link
"Sold  May 3, 2019 Ancient PERSIAN (Achaemenid) Trilobate ARROWHEAD Display 6th-4th Cent BC (#1)",$26.07,"Brooklyn, New York, United States",https://www.ebay.com/itm/Ancient-PERSIAN-Achaemenid-Trilobate-ARROWHEAD-Display-6th-4th-Cent-BC-1/143229843639?hash=item215929f8b7%3Ag%3AQBEAAOSwNXpcwzau&LH_Auction=1
"Sold  May 3, 2019 VERY OLD ANCIENT SASANNIAN WARRIOR ENCARVED WHITE NEFRITE JADE AMULET #SR1218",$9.99,"Frederiksberg, Denmark",https://www.ebay.com/itm/VERY-OLD-ANCIENT-SASANNIAN-WARRIOR-ENCARVED-WHITE-NEFRITE-JADE-AMULET-SR1218/153465097182?hash=item23bb3b8bde%3Ag%3AwFQAAOSwoW1clLHt&LH_Auction=1
"Sold  May 1, 2019 Burma, Myanmar Lacquerware  Good Luck Owl with real gold leaf.",$9.99,"Fort Wayne, Indiana, United States",https://www.ebay.com/itm/Burma-Myanmar-Lacquerware-Good-Luck-Owl-with-real-gold-leaf/153463285221?hash=item23bb1fe5e5%3Ag%3AGtcAAOSwfl1citM5&LH_Auction=1
"Sold  May 1, 2019 Dong Son White Jade collared disc 4 7/16"" wide Herrington (pub.)",$285.00,"East Weymouth, Massachusetts, United States",https://www.ebay.com/itm/Dong-Son-White-Jade-collared-disc-4-7-16-wide-Herrington-pub/123748064677?hash=item1ccff59da5%3Ag%3Ae6IAAOSw8Ilcw5er&LH_Auction=1
"Sold  May 1, 2019 Dong Son pole axe c. 500 BC edge 3 "" Piscopo",$3.28,,
"Sold  Apr 30, 2019 Dong Son pole axe c. 500 BC edge 3 5/8 "" Piscopo",$17.50,"East Weymouth, Massachusetts, United States",https://www.ebay.com/itm/Dong-Son-pole-axe-c-500-BC-edge-3-5-8-Piscopo/123747016488?hash=item1ccfe59f28%3Ag%3AlhUAAOSwJ7Fcwknt&LH_Auction=1
"Sold  Apr 30, 2019 Chinese Bronze guard for iron sword c. 2500 - 2000 years old Piscopo (T. Allen )",$28.00,"East Weymouth, Massachusetts, United States",https://www.ebay.com/itm/Chinese-Bronze-guard-for-iron-sword-c-2500-2000-years-old-Piscopo-T-Allen/123747008638?hash=item1ccfe5807e%3Ag%3Ax6YAAOSwFmFcwkdB&LH_Auction=1
"Sold  Apr 29, 2019 Cambodian bronze axe 800 BC 3 3/8"" long Piscopo",$5.50,"East Weymouth, Massachusetts, United States",https://www.ebay.com/itm/Cambodian-bronze-axe-800-BC-3-3-8-long-Piscopo/123746239264?hash=item1ccfd9c320%3Ag%3A9QQAAOSwmu5cwTI2&LH_Auction=1
"Sold  Apr 29, 2019 Large Dong Son axe 6 1/2"" decorated azurite patina formerly Piscopo",$66.00,"Sterling, Virginia, United States",https://www.ebay.com/itm/Large-Dong-Son-axe-6-1-2-decorated-azurite-patina-formerly-Piscopo/123746231752?hash=item1ccfd9a5c8%3Ag%3A9iwAAOSwcZNcwS5l&LH_Auction=1
"Sold  Apr 29, 2019 Cambodian bronze c. axe c. 1000 - 800 BC 3"" long Piscopo",$38.50,"Sterling, Virginia, United States",https://www.ebay.com/itm/Cambodian-bronze-c-axe-c-1000-800-BC-3-long-Piscopo/123746155821?hash=item1ccfd87d2d%3Ag%3Ad9cAAOSwOmBcwQkP&LH_Auction=1
"Sold  Apr 29, 2019 Cambodian bronze spearhead c. 800 BC 3 5/8"" long Piscopo",$22.50,"Sterling, Virginia, United States",https://www.ebay.com/itm/Cambodian-bronze-spearhead-c-800-BC-3-5-8-long-Piscopo/123746138594?hash=item1ccfd839e2%3Ag%3Au3wAAOSwy5RcwQIH&LH_Auction=1
"Sold  Apr 29, 2019 Ban Chiang bronze spearhead 6 5/8 "" long, four sided point c. 1000 BC Piscopo",$124.50,"East Weymouth, Massachusetts, United States",https://www.ebay.com/itm/Ban-Chiang-bronze-spearhead-6-5-8-long-four-sided-point-c-1000-BC-Piscopo/123746104484?hash=item1ccfd7b4a4%3Ag%3AWJUAAOSwLOZcwPEZ&LH_Auction=1
"Sold  Apr 29, 2019 Clay Sculpture Of Ancient Silla Dynasty Korean Treasure Warrior On Horseback",$50.00,"Whittier, California, United States",https://www.ebay.com/itm/Clay-Sculpture-Of-Ancient-Silla-Dynasty-Korean-Treasure-Warrior-On-Horseback/254208306950?hash=item3b2ffeef06%3Ag%3A58cAAOSwj4Vcq6fs&LH_Auction=1
"Sold  Apr 28, 2019 Dong Son pole axe c. 300 BC -200 AD formerly Piscopo collection",$36.00,"Sterling, Virginia, United States",https://www.ebay.com/itm/Dong-Son-pole-axe-c-300-BC-200-AD-formerly-Piscopo-collection/123745186944?hash=item1ccfc9b480%3Ag%3Ah6YAAOSwaGhcv8zf&LH_Auction=1
"Sold  Apr 28, 2019 EXTREMELY ANCIENT 3 BRONZE ARROWHEADS 2000 years old! 300BC~~~no reserve",$1.00,"ANCIENT &amp; AUTHENTIC**GUARANTEED!, United States",https://www.ebay.com/itm/EXTREMELY-ANCIENT-3-BRONZE-ARROWHEADS-2000-years-old-300BC-no-reserve/401752169121?hash=item5d8a4b9aa1%3Ag%3AeDMAAOSwp-ZcuSEe&LH_Auction=1
"Sold  Apr 28, 2019 Dong Son lance 13 3/8"" long formerly Piscopo",$78.00,"Sterling, Virginia, United States",https://www.ebay.com/itm/Dong-Son-lance-13-3-8-long-formerly-Piscopo/123742782610?hash=item1ccfa50492%3Ag%3A0JAAAOSw0ntcdc%7EX&LH_Auction=1
"Sold  Apr 27, 2019 100% authentic late jade bi (ring), Western Han dynasty (206 BC - 9 CE), China",$50.00,"Toronto, Canada",https://www.ebay.com/itm/100-authentic-late-jade-bi-ring-Western-Han-dynasty-206-BC-9-CE-China/183782168022?hash=item2aca4555d6%3Ag%3AHSUAAOSw9Mtcu7M2&LH_Auction=1
"Sold  Apr 25, 2019 EXTREMELY ANCIENT FLINT ARROWHEADS  AMAZING!5000 years old! 3000BC~~~no reserve",$7.50,"ANCIENT &amp; AUTHENTIC**GUARANTEED!, United States",https://www.ebay.com/itm/EXTREMELY-ANCIENT-FLINT-ARROWHEADS-AMAZING-5000-years-old-3000BC-no-reserve/192890875279?hash=item2ce9312d8f%3Ag%3AgAkAAOSw5P1ctUdi&LH_Auction=1
"Sold  Apr 25, 2019 EXTREMELY ANCIENT SHELL BEADS!  AMAZING!  5000 years old! 3000BC~~~no reserve",$1.00,"ANCIENT &amp; AUTHENTIC**GUARANTEED!, United States",https://www.ebay.com/itm/EXTREMELY-ANCIENT-SHELL-BEADS-AMAZING-5000-years-old-3000BC-no-reserve/401750395065?hash=item5d8a3088b9%3Ag%3A-9QAAOSw2TdctUde&LH_Auction=1
"Sold  Apr 22, 2019 Elephant Carving Very Old Sold As Is",$25.00,"Amherst, New Hampshire, United States",https://www.ebay.com/itm/Elephant-Carving-Very-Old-Sold-As-Is/202654687862?hash=item2f2f292276%3Ag%3AxfkAAOSwtW5copQs&LH_Auction=1
"Sold  Apr 21, 2019 Antique Japanese Bronze Temple Lantern - Meiji or Taisho Period (1868-1926)",$157.00,,
"Sold  Apr 20, 2019 EBAY BEST!   ANCIENT ROMAN AXE! 200AD!  WOW!  EXCELLENT!",$11.50,"ANCIENT & AUTHENTIC**GUARANTEED!, United States",https://www.ebay.com/itm/EBAY-BEST-ANCIENT-ROMAN-AXE-200AD-WOW-EXCELLENT/401747368213?hash=item5d8a025915%3Ag%3AV0AAAOSw8etcrp0y&LH_Auction=1
"Sold  Apr 20, 2019 SCARCE ANCIENT CHINESE CELADON GLAZED CARVED PORCELAIN VASE SEA SERPENT HANDLES",$9.99,,
"Sold  Apr 17, 2019 Antique 1500-1700’s Thai Buddhist Copper Amulet Monk Temple Siam Charm Turtle",$7.95,,
"Sold  Apr 16, 2019 Group Of Old Intaglio Rings Far Eastern",$0.99,,
"Sold  Apr 13, 2019 19th Century Chinese Mahogany Decorative Brass Jewelry Box With Koi Fish Lock",$20.59,"Hendersonville, Tennessee, United States",https://www.ebay.com/itm/19th-Century-Chinese-Mahogany-Decorative-Brass-Jewelry-Box-With-Koi-Fish-Lock/293037912892?hash=item443a6bb33c%3Ag%3Ae-sAAOSwPaBcg%7EWd&LH_Auction=1
"Sold  Apr 12, 2019 Large Hand Carved Dark Wood Oriental Statue/Figure 21"" High",$99.95,"Lewisville, Texas, United States",https://www.ebay.com/itm/Large-Hand-Carved-Dark-Wood-Oriental-Statue-Figure-21-High/264273676599?hash=item3d87f04937%3Ag%3AklIAAOSwa1NcqmDm&LH_Auction=1
