Object,Price,Location,Link
"Sold  Feb 6, 2019 5 Ancient Roman Gold Gilded Beads European Authentic Antiquity Artifact Greek",$23.49,"Larnaca, Cyprus",https://www.ebay.com/itm/5-Ancient-Roman-Gold-Gilded-Beads-European-Authentic-Antiquity-Artifact-Greek/273679223834?hash=item3fb88d8c1a%3Ag%3AT4YAAOSwSDxbvUCd&LH_Auction=1
"Sold  Feb 6, 2019 Old Antique Zodiac Bracelet Silver? Greek? Egyptian? Jewelry Symbols Medieval?",$11.95,"Lummi Island, Washington, United States",https://www.ebay.com/itm/Old-Antique-Zodiac-Bracelet-Silver-Greek-Egyptian-Jewelry-Symbols-Medieval/273679223841?hash=item3fb88d8c21%3Ag%3ArNMAAOSw1T1cS-WR&LH_Auction=1
"Sold  Feb 6, 2019 OUTSTANDING VINTAGE COPPER WALL PLATE – SCYTHIAN STYLE STAG IMAGE!!!",$21.99,,
"Sold  Feb 5, 2019  ANCIENT STYLE GOLD GILDED RING WITH GREEK COIN INSERT ADJUSTABLE",$18.80,,
"Sold  Feb 5, 2019 ANCIENT GREEK SEAL STAMP ARTIFACT BUTTON WITH MARKINGS  -G326",$2.99,"DeLand, Florida, United States",https://www.ebay.com/itm/ANCIENT-GREEK-SEAL-STAMP-ARTIFACT-BUTTON-WITH-MARKINGS-G326/273677388027?hash=item3fb87188fb%3Ag%3A7LQAAOSwVIZcRgeh&LH_Auction=1
"Sold  Feb 5, 2019 ANCIENT SASSANIAN ROMAN FIGHTERS LAPIS LAZULI BIG STONE 12.5 cm     # 9C",$295.00,"Bangkok, Thailand",https://www.ebay.com/itm/ANCIENT-SASSANIAN-ROMAN-FIGHTERS-LAPIS-LAZULI-BIG-STONE-12-5-cm-9C/273680254838?hash=item3fb89d4776%3Ag%3Agr8AAOSwrClcU0fR&LH_Auction=1
"Sold  Feb 5, 2019 Wonderful Vintage Museum Copy of a Minoan Vase. Natural Shell Like Motif 1500 BC",$20.74,"Trikala, Greece",https://www.ebay.com/itm/Wonderful-Vintage-Museum-Copy-of-a-Minoan-Vase-Natural-Shell-Like-Motif-1500-BC/163517827803?hash=item26126c0adb%3Ag%3ASiUAAOSwGBRcUwHs&LH_Auction=1
"Sold  Feb 4, 2019 KANBLACK PLUME BLACK CREST BRUSH Natural Horse Hair For CORINTHIAN HELMET ARMOUR",$14.50,"DELHI, DELHI, India",https://www.ebay.com/itm/KANBLACK-PLUME-BLACK-CREST-BRUSH-Natural-Horse-Hair-For-CORINTHIAN-HELMET-ARMOUR/113603721347?hash=item1a734f3883%3Ag%3AToYAAOSwDEBcBhM6&LH_Auction=1
"Sold  Feb 4, 2019 "" BUTTERFLY ""  ANCIENT SILVER GREEK- ROMAN  RING!!!!",$35.00,"Serbia, Serbia",https://www.ebay.com/itm/BUTTERFLY-ANCIENT-SILVER-GREEK-ROMAN-RING/153352852321?hash=item23b48ad361%3Ag%3ArvUAAOSwSidcPlm8&LH_Auction=1
"Sold  Feb 4, 2019 *SC* RARE CYPRUS / CYPRIOT BEAK-SPOUTED POTTERY JUG, bronzeage ca. 1700-1400 BC!",$199.00,"Mississauga, Ontario, Canada",https://www.ebay.com/itm/SC-RARE-CYPRUS-CYPRIOT-BEAK-SPOUTED-POTTERY-JUG-bronzeage-ca-1700-1400-BC/223343489180?hash=item34004f309c%3Ag%3AgwkAAOSwjMtcStL6&LH_Auction=1
