Object,Price,Location,Link
"Sold  Feb 6, 2019 JUDAEA John Hyrcanus I (Yehohanan) 135-104 BC, Æ Prutah",$10.02,,
"Sold  Feb 6, 2019 AMAZING!  ISRAEL ROMAN  GLASS VASE/BOTTLE~ 100AD  NONE BETTER  BIBLE ARCHAEOLOGY",$135.00,"ANCIENT &amp; AUTHENTIC**GUARANTEED!, United States",https://www.ebay.com/itm/AMAZING-ISRAEL-ROMAN-GLASS-VASE-BOTTLE-100AD-NONE-BETTER-BIBLE-ARCHAEOLOGY/192805518201?hash=item2ce41abb79%3Ag%3A5KMAAOSwE4tb3kaz&LH_Auction=1
"Sold  Feb 4, 2019 ANCIENT CANAANITE  STONE CYLINDER SEAL",$68.00,"DUBAI, DUBAI, United Arab Emirates",https://www.ebay.com/itm/ANCIENT-CANAANITE-STONE-CYLINDER-SEAL/273675980221?hash=item3fb85c0dbd%3Ag%3A12gAAOSwS2lcTvll&LH_Auction=1
"Sold  Feb 4, 2019 ANTIQUE STONE EYE IDOL",$130.20,"Lummi Island, Washington, United States",https://www.ebay.com/itm/ANTIQUE-STONE-EYE-IDOL/273675975735?hash=item3fb85bfc37%3Ag%3AHp0AAOSwachcTvam&LH_Auction=1
"Sold  Feb 3, 2019 REPRO Ancient Babylonian Mesopotamian Sumerian Cuneiform Clay Tablet LOT",$425.00,"Burnsville, Minnesota, United States",https://www.ebay.com/itm/REPRO-Ancient-Babylonian-Mesopotamian-Sumerian-Cuneiform-Clay-Tablet-LOT/323665147484?hash=item4b5bf2365c%3Ag%3AZlQAAOSwd0pcSn5N&LH_Auction=1
"Sold  Feb 3, 2019 REPRO Ancient Babylonian Mesopotamian Sumerian Cuneiform Clay Tablet",$520.00,"Burnsville, Minnesota, United States",https://www.ebay.com/itm/REPRO-Ancient-Babylonian-Mesopotamian-Sumerian-Cuneiform-Clay-Tablet/292932745702?hash=item443426f9e6%3Ag%3A28AAAOSw2fpcSnA6&LH_Auction=1
"Sold  Feb 3, 2019 Bronze Age pin with bird",$100.99,"Didcot, United Kingdom",https://www.ebay.com/itm/Bronze-Age-pin-with-bird/303042844918?hash=item468ec2d8f6%3Ag%3AQ60AAOSwwfFcTh-5&LH_Auction=1
"Sold  Feb 3, 2019 Celtic bronze armband",$76.00,"London, United Kingdom",https://www.ebay.com/itm/Celtic-bronze-armband/303042842803?hash=item468ec2d0b3%3Ag%3AqgYAAOSw%7E%7E5cTh8c&LH_Auction=1
"Sold  Feb 3, 2019 Celtic blade formed amulet",$22.19,"Pyhra, Austria",https://www.ebay.com/itm/Celtic-blade-formed-amulet/292936347456?hash=item44345def40%3Ag%3AByEAAOSwHphcTh4c&LH_Auction=1
"Sold  Feb 3, 2019 Celtic axe formed amulet",$17.50,"Pyhra, Austria",https://www.ebay.com/itm/Celtic-axe-formed-amulet/292936344435?hash=item44345de373%3Ag%3Az-UAAOSwAdFcTh2R&LH_Auction=1
"Sold  Feb 3, 2019 Roman / Early Christian seal ring with cross",$28.00,"Barking, Essex, United Kingdom",https://www.ebay.com/itm/Roman-Early-Christian-seal-ring-with-cross/303042834327?hash=item468ec2af97%3Ag%3AUVoAAOSwrm5cThyz&LH_Auction=1
"Sold  Feb 3, 2019 Masterpiece Of Jerusalem Al-Aqsa Pottery Handmade Very Nice Design Holy Land",$0.99,"DUBAI, DUBAI, United Arab Emirates",https://www.ebay.com/itm/Masterpiece-Of-Jerusalem-Al-Aqsa-Pottery-Handmade-Very-Nice-Design-Holy-Land/192806167227?hash=item2ce424a2bb%3Ag%3AmFIAAOSwzExcTfi1&LH_Auction=1
"Sold  Feb 3, 2019 Candlestick Candle Holder And Oil Lamp Pottery Handmade Nice Design Holy Land",$4.75,"hebron, Israel",https://www.ebay.com/itm/Candlestick-Candle-Holder-And-Oil-Lamp-Pottery-Handmade-Nice-Design-Holy-Land/192806153414?hash=item2ce4246cc6%3Ag%3AkoUAAOSwx9lcTfc6&LH_Auction=1
