Object,Price,Location,Link
"Sold  May 4, 2019 *SC* AN ISLAMIC POTTERY BOWL, WESTERN-CENTRAL ASIA, 11th.-12th cent. AD!",$129.00,"Frederiksberg, Denmark",https://www.ebay.com/itm/SC-AN-ISLAMIC-POTTERY-BOWL-WESTERN-CENTRAL-ASIA-11th-12th-cent-AD/223493520549?hash=item3409407ca5%3Ag%3A%7E60AAOSwk1BcwJ-h&LH_Auction=1
"Sold  May 4, 2019 *SC* A DECORATED ISLAMIC POTTERY BOWL, WESTERN-CENTRAL ASIA, 11th.-12th cent. AD",$99.00,"Frederiksberg, Denmark",https://www.ebay.com/itm/SC-A-DECORATED-ISLAMIC-POTTERY-BOWL-WESTERN-CENTRAL-ASIA-11th-12th-cent-AD/333169420768?hash=item4d9271e9e0%3Ag%3AXD8AAOSwLMRcwJ-N&LH_Auction=1
"Sold  May 4, 2019 Ancient Lapis lazuli holy islamic Verses stone made as gold plated pendant  #10V",$11.61,"Bangkok, Thailand",https://www.ebay.com/itm/Ancient-Lapis-lazuli-holy-islamic-Verses-stone-made-as-gold-plated-pendant-10V/283467351947?hash=item41fff8878b%3Ag%3AvL8AAOSwkt9colaA&LH_Auction=1
"Sold  May 4, 2019 Antique Green Glass Islamic Bronze Ring",$9.99,"European Union, Bulgaria",https://www.ebay.com/itm/Antique-Green-Glass-Islamic-Bronze-Ring/392285478921?hash=item5b56096009%3Ag%3Ao%7E4AAOSwvytcV9Ih&LH_Auction=1
"Sold  May 4, 2019 Very Old Beautiful Holy Name Islamic Lapis lazuli Stone Amulet  #10U",$11.50,"Bangkok, Thailand",https://www.ebay.com/itm/Very-Old-Beautiful-Holy-Name-Islamic-Lapis-lazuli-Stone-Amulet-10U/283467339661?hash=item41fff8578d%3Ag%3AII8AAOSw%7ElRcnnFS&LH_Auction=1
"Sold  May 4, 2019 BELT TURKISH TURKEY CEINTURE ANTIQUE",$4.25,,
"Sold  May 3, 2019 ATTRACTIVE ISLAMIC SELJUK CA.1300 AD GLASS WATER JUG  WITH HANDLE",$30.63,,
"Sold  May 3, 2019 Old Rare Lapis lazuli stone Wonderful Islamic Holy Writing Amulet   # 10O",$9.99,"European Union, Bulgaria",https://www.ebay.com/itm/Old-Rare-Lapis-lazuli-stone-Wonderful-Islamic-Holy-Writing-Amulet-10O/283466289997?hash=item41ffe8534d%3Ag%3A6CUAAOSw%7E9Rck9JO&LH_Auction=1
"Sold  May 3, 2019 SPECTACULAR LARGE ISLAMIC SELJUK CA.1200 AD BRONZE DECORATED BULL FIGURINE",$205.97,,
"Sold  May 3, 2019 ATTRACTIVE ISLAMIC CA. 600 BC CUT GLASS FLASK WITH SWIRLS OF COLOUR - RARE",$59.04,,
"Sold  May 3, 2019 100%NATURAL NEPHRITE JADE MUGHAL BOTTLE ANTIQUE 17Th CENTURY",$299.00,"JAIPUR, RAJASTHAN, India",https://www.ebay.com/itm/100-NATURAL-NEPHRITE-JADE-MUGHAL-BOTTLE-ANTIQUE-17Th-CENTURY/254212031684?hash=item3b3037c4c4%3Ag%3AR7AAAOSwn4ZcQfxf&LH_Auction=1
"Sold  May 3, 2019  Writing Afghan Carnelian Agate Old Stone Gold Gilded Plated Intaglio Ring 7",$20.99,,
"Sold  May 2, 2019 خاتم مصور من النوادر العجيبة يماني عقيق اصلي على فضة يدوية من القطع المتحفية",$149.50,,
"Sold  May 2, 2019 78inch! Antique Syrian Arabic Coblan Handmade Table/Floor Decorative Arabian Rug",$349.00,"Baqa, Israel",https://www.ebay.com/itm/78inch-Antique-Syrian-Arabic-Coblan-Handmade-Table-Floor-Decorative-Arabian-Rug/401757144237?hash=item5d8a9784ad%3Ag%3AewIAAOSwph5cxQKF&LH_Auction=1
"Sold  May 2, 2019 Syrian Islamic Arabic Handmade Engraved Copper Brass Dallah Coffee Pot",$22.50,"Round Lake, Illinois, United States",https://www.ebay.com/itm/Syrian-Islamic-Arabic-Handmade-Engraved-Copper-Brass-Dallah-Coffee-Pot/401757142582?hash=item5d8a977e36%3Ag%3AbG0AAOSwOz5cxQGl&LH_Auction=1
"Sold  May 2, 2019 SUPERB LATE MEDIEVAL ISLAMIC GOLD GILDED RING WITH CARNELIAN STONE INTAGLIO",$22.30,"Didcot, United Kingdom",https://www.ebay.com/itm/SUPERB-LATE-MEDIEVAL-ISLAMIC-GOLD-GILDED-RING-WITH-CARNELIAN-STONE-INTAGLIO/153462677458?hash=item23bb169fd2%3Ag%3AqOcAAOSwGb9cwEmC&LH_Auction=1
"Sold  May 2, 2019 FINEST CIRCA 1200-1400AD ANCIENT ISLAMIC GLAZED OIL LAMP SELJUK PERIOD",$35.42,"Didcot, United Kingdom",https://www.ebay.com/itm/FINEST-CIRCA-1200-1400AD-ANCIENT-ISLAMIC-GLAZED-OIL-LAMP-SELJUK-PERIOD/153462687450?hash=item23bb16c6da%3Ag%3AWboAAOSwfXhcwE1a&LH_Auction=1
"Sold  May 2, 2019  SUPERB LATE MEDIEVAL ISLAMIC GOLD GILDED RING WITH LAPIS LAZULI INTAGLIO",$35.41,,
"Sold  May 2, 2019 ISLAMIC ANTIQUE ARABIC COPPER & BRASS COFFEE POT / DALLAH 12 INCHES TALL",$610.00,"Strabane, United Kingdom",https://www.ebay.com/itm/ISLAMIC-ANTIQUE-ARABIC-COPPER-BRASS-COFFEE-POT-DALLAH-12-INCHES-TALL/123746887800?hash=item1ccfe3a878%3Ag%3AmQcAAOSwTmpcwmCK&LH_Auction=1
"Sold  May 2, 2019 Ancient 22 carat gold ring Turquoise cabochon museum quality Islamic / Roman?",$323.61,"Warwickshire, United Kingdom",https://www.ebay.com/itm/Ancient-22-carat-gold-ring-Turquoise-cabochon-museum-quality-Islamic-Roman/392282186563?hash=item5b55d72343%3Ag%3AEZAAAOSw0VBcveST&LH_Auction=1
"Sold  May 2, 2019 Ancient Rare Islamic Holy Writing Crystal Rock Stone Lucky Ring  # 10K",$20.08,"Bangkok , Thailand",https://www.ebay.com/itm/Ancient-Rare-Islamic-Holy-Writing-Crystal-Rock-Stone-Lucky-Ring-10K/273823998634?hash=item3fc12ea2aa%3Ag%3A-AwAAOSwzd5cjU%7Er&LH_Auction=1
"Sold  May 2, 2019 Turquoise Stone Old Usmani Islamic Unique Royal Ring  #10i",$13.35,"Bangkok, Thailand",https://www.ebay.com/itm/Turquoise-Stone-Old-Usmani-Islamic-Unique-Royal-Ring-10i/273823991866?hash=item3fc12e883a%3Ag%3AxhMAAOSw-ttciqOr&LH_Auction=1
"Sold  May 1, 2019 vintage ring - خاتم جميل للحماية , خاتم صد العين, للجنسين",$10.50,,
"Sold  May 1, 2019 Beautiful Old Islamic Lapis lazuli Stone Writing Unique Ring    #9x",$20.50,"EUROPEAN UNION, Bulgaria",https://www.ebay.com/itm/Beautiful-Old-Islamic-Lapis-lazuli-Stone-Writing-Unique-Ring-9x/283459165011?hash=item41ff7b9b53%3Ag%3AZWAAAOSwSk9cduDD&LH_Auction=1
"Sold  May 1, 2019 Unqiue Persian Antique Ceramic famous philosopher ibn sina picture Rare Piece 02",$31.00,"София, default, Bulgaria",https://www.ebay.com/itm/Unqiue-Persian-Antique-Ceramic-famous-philosopher-ibn-sina-picture-Rare-Piece-02/153463055900?hash=item23bb1c661c%3Ag%3AVeUAAOSwN0hcwLYZ&LH_Auction=1
"Sold  May 1, 2019 Antique Handmade Dallah Coffee Gulf Pot Brass Oman Nazwa Hight 42cm عمانية نزوى",$790.00,,
"Sold  May 1, 2019 ANTIQUE OLD ISLAMIC OTTOMAN COW BONE CARVED RAILROAD RAILWAY TRAIN WHISTLE WORKS",$0.99,"Sofia,EU, Bulgaria",https://www.ebay.com/itm/ANTIQUE-OLD-ISLAMIC-OTTOMAN-COW-BONE-CARVED-RAILROAD-RAILWAY-TRAIN-WHISTLE-WORKS/143227164286?hash=item215901167e%3Ag%3AuCcAAOSwKOJYIEq-&LH_Auction=1
"Sold  May 1, 2019  ANTIQUE Islamic gold plated coin",$56.00,,
"Sold  Apr 30, 2019 INTACT ISLAMIC LATE MEDIEVAL GOLD PLATED INTAGLIO SEAL RING- AFGAN STONE",$15.09,,
"Sold  Apr 30, 2019 SUPERB LATE MEDIEVAL ISLAMIC GOLD GILDED RING WITH AGATE INTAGLIO",$13.77,"Didcot, United Kingdom",https://www.ebay.com/itm/SUPERB-LATE-MEDIEVAL-ISLAMIC-GOLD-GILDED-RING-WITH-AGATE-INTAGLIO/153461431124?hash=item23bb039b54%3Ag%3AalMAAOSw2s1cvw64&LH_Auction=1
"Sold  Apr 30, 2019 HUGE ANTIQUE ISLAMIC CAIROWARE INLAID BRASS OTTOMAN CURTAIN KAABA FAHD 70 kg","$4,600.00","cairo, Egypt",https://www.ebay.com/itm/HUGE-ANTIQUE-ISLAMIC-CAIROWARE-INLAID-BRASS-OTTOMAN-CURTAIN-KAABA-FAHD-70-kg/123742017552?hash=item1ccf995810%3Ag%3AQmwAAOSwuXxcu4th&LH_Auction=1
"Sold  Apr 30, 2019 FINEST CIRCA 1200-1400AD ANCIENT ISLAMIC GLAZED OIL LAMP SELJUK PERIOD",$44.03,"Didcot, United Kingdom",https://www.ebay.com/itm/FINEST-CIRCA-1200-1400AD-ANCIENT-ISLAMIC-GLAZED-OIL-LAMP-SELJUK-PERIOD/153460236928?hash=item23baf16280%3Ag%3AWnwAAOSwHDdcvbmI&LH_Auction=1
"Sold  Apr 30, 2019 Antiques İslamic Lead Seal                   -77-",$12.50,,
"Sold  Apr 28, 2019 PERSIA, QAJAR DYNASTY ,FATH ALI SHAH ERA 1212-1250 AH , STAMP SEAL DATED 1219 AH",$38.00,"Northolt, United Kingdom",https://www.ebay.com/itm/PERSIA-QAJAR-DYNASTY-FATH-ALI-SHAH-ERA-1212-1250-AH-STAMP-SEAL-DATED-1219-AH/303128656015?hash=item4693e0388f%3Ag%3AcckAAOSwCyVctvue&LH_Auction=1
"Sold  Apr 28, 2019 Islamic Military Dagger, Vintage Dagger, Vintage Knife, Ceremonial Dagger, ritua",$199.00,"Aqaba, Jordan",https://www.ebay.com/itm/Islamic-Military-Dagger-Vintage-Dagger-Vintage-Knife-Ceremonial-Dagger-ritua/401757147792?hash=item5d8a979290%3Ag%3A5EcAAOSwpp1cxQaI&LH_Auction=1
"Sold  Apr 28, 2019 Natural Persian Islamic Evil eye Banded Carnelian ring  ring 8-gm us:7.5",$9.99,"Br, Pakistan",https://www.ebay.com/itm/Natural-Persian-Islamic-Evil-eye-Banded-Carnelian-ring-ring-8-gm-us-7-5/202659158219?hash=item2f2f6d58cb%3Ag%3An30AAOSwd89chCtS&LH_Auction=1
"Sold  Apr 28, 2019 SUPERB LATE MEDIEVAL ISLAMIC OTTOMAN GOLD GILDED RING WITH CARNELIAN STONE",$20.99,"Didcot, United Kingdom",https://www.ebay.com/itm/SUPERB-LATE-MEDIEVAL-ISLAMIC-OTTOMAN-GOLD-GILDED-RING-WITH-CARNELIAN-STONE/153457193007?hash=item23bac2f02f%3Ag%3AEXwAAOSwk%7Excub3-&LH_Auction=1
"Sold  Apr 28, 2019 (16094)Early Islamic bronze Belt decoration from Chach oasis Lion and the Deer",$38.00,"Staten Island, New York, United States",https://www.ebay.com/itm/16094-Early-Islamic-bronze-Belt-decoration-from-Chach-oasis-Lion-and-the-Deer/202659116980?hash=item2f2f6cb7b4%3Ag%3AR6EAAOSwPb1cjUHc&LH_Auction=1
"Sold  Apr 28, 2019 (15952)Early Islamic Lead Button from Shash oasis",$1.99,"Staten Island, New York, United States",https://www.ebay.com/itm/15952-Early-Islamic-Lead-Button-from-Shash-oasis/133029418348?hash=item1ef92bd56c%3Ag%3Aw3AAAOSwLi1ccZ-a&LH_Auction=1
"Sold  Apr 28, 2019 (15933)Early Islamic Lead Button from Shash oasis",$4.99,"Staten Island, New York, United States",https://www.ebay.com/itm/15933-Early-Islamic-Lead-Button-from-Shash-oasis/202659107509?hash=item2f2f6c92b5%3Ag%3AzecAAOSwvjtccZ8q&LH_Auction=1
"Sold  Apr 28, 2019 (16118)Early Islamic bronze Belt decoration, AE, from Shash oasis",$28.00,"Staten Island, New York, United States",https://www.ebay.com/itm/16118-Early-Islamic-bronze-Belt-decoration-AE-from-Shash-oasis/202659098554?hash=item2f2f6c6fba%3Ag%3AQy0AAOSwstxcvLf6&LH_Auction=1
"Sold  Apr 28, 2019 (16145)Chach or Early Islamic figure Horse, AE, from Shash oasis",$22.50,"Staten Island, New York, United States",https://www.ebay.com/itm/16145-Chach-or-Early-Islamic-figure-Horse-AE-from-Shash-oasis/202659095917?hash=item2f2f6c656d%3Ag%3A-2sAAOSwql1cvLd-&LH_Auction=1
"Sold  Apr 28, 2019 OTTOMAN BRONZE SEAL STAMPER, TEXT",$11.50,"Tirane, Albania",https://www.ebay.com/itm/OTTOMAN-BRONZE-SEAL-STAMPER-TEXT/202659069977?hash=item2f2f6c0019%3Ag%3ARfcAAOSwtglcvKqD&LH_Auction=1
