Object,Price,Location,Link
"Sold  Feb 6, 2019  MASSIVE NEAR EAST SILVER DECORATED RING WITH NICE BLUE STONE CIRCA 1400 AD-INTA",$35.00,"CYPRUS, Cyprus",https://www.ebay.com/itm/MASSIVE-NEAR-EAST-SILVER-DECORATED-RING-WITH-NICE-BLUE-STONE-CIRCA-1400-AD-INTA/392226993031?hash=item5b528cf387%3Ag%3AbpwAAOSwmqZcUgHX&LH_Auction=1
"Sold  Feb 6, 2019 PERFECT NEAR EAST TERRACOTTA IDOL STATUE CIRCA 1500 BC",$37.60,,
"Sold  Feb 6, 2019 MASSIVE POST MEDIEVAL NEAR EAST SILVERED SEAL RING WITH LAPIS LAZULI STONE",$24.62,,
"Sold  Feb 5, 2019 INTACT-MASSIVE NEAR EAST POST MEDIEVAL SILVER PLATED SEAL RING-SCORPION",$22.03,,
"Sold  Feb 5, 2019 INTACT LATE POST MEDIEVAL NEAR EAST SILVER RING WITH NICE CARNELIAN STONE",$16.21,,
"Sold  Feb 5, 2019 MASSIVE NEAR EAST SILVER DECORATED RING WITH NICE BLUE STONE CIRCA 1400 AD-INTAC",$53.15,"CYPRUS, Cyprus",https://www.ebay.com/itm/MASSIVE-NEAR-EAST-SILVER-DECORATED-RING-WITH-NICE-BLUE-STONE-CIRCA-1400-AD-INTAC/392226136809?hash=item5b527fe2e9%3Ag%3AmTwAAOSwLNxcUKwE&LH_Auction=1
"Sold  Jan 24, 2019 *SC* LARGE & RARE POTTERY JUG, ANCIENT NEAR EAST, 2nd. Mill. BC!",$69.00,"Frederiksberg, Denmark",https://www.ebay.com/itm/SC-LARGE-RARE-POTTERY-JUG-ANCIENT-NEAR-EAST-2nd-Mill-BC/223325531166?hash=item33ff3d2c1e%3Ag%3AeBYAAOSwWH1b6MYm&LH_Auction=1
"Sold  Jan 20, 2019 INTACT NEAR EAST CIRCA 100 AD HARD STONE BEAD CYCLICAL SEAL",$4.15,"CYPRUS, Cyprus",https://www.ebay.com/itm/INTACT-NEAR-EAST-CIRCA-100-AD-HARD-STONE-BEAD-CYCLICAL-SEAL/202565054889?hash=item2f29d171a9%3Ag%3AqyUAAOSwfMlcO2TI&LH_Auction=1
"Sold  Jan 20, 2019 SCARCE NEAR EAST MEDIEVAL BRONZE MOLD CIRCA 1000-1300 AD",$17.50,,
"Sold  Jan 20, 2019 MUSEUM QUALITY NEAR EAST ANCIENT TERRACOTTA IDOL STATUE-LARGE SIZE - ANCIENT",$46.67,"CYPRUS, Cyprus",https://www.ebay.com/itm/MUSEUM-QUALITY-NEAR-EAST-ANCIENT-TERRACOTTA-IDOL-STATUE-LARGE-SIZE-ANCIENT/392214499083?hash=item5b51ce4f0b%3Ag%3AI7QAAOSwVMJb%7ECDD&LH_Auction=1
"Sold  Jan 19, 2019 Antique Near East TOP HIGH AGED BYZANTINE ERA CLAY PILGRIM FLASK WITH FIGURES",$79.90,"Vienna, Austria",https://www.ebay.com/itm/Antique-Near-East-TOP-HIGH-AGED-BYZANTINE-ERA-CLAY-PILGRIM-FLASK-WITH-FIGURES/303027636096?hash=item468ddac780%3Ag%3AsqwAAOSwtcRcFV0p&LH_Auction=1
"Sold  Jan 16, 2019 INTACT NEAR EAST TERRACOTTA IDOL MOTHER GODDESS IDOL STATUE CIRCA 1000-1200 AD",$36.30,,
"Sold  Jan 16, 2019 MUSEUM QUALITY HEMATITE NEAR EAST BEAD SEAL CIRCA 1000-700 BC",$20.74,"CYPRUS, Cyprus",https://www.ebay.com/itm/MUSEUM-QUALITY-HEMATITE-NEAR-EAST-BEAD-SEAL-CIRCA-1000-700-BC/392211451736?hash=item5b519fcf58%3Ag%3AY5wAAOSw55FcNe9O&LH_Auction=1
"Sold  Jan 16, 2019 MUSEUM QUALITY-HUGE-BYZANTINE ERA NEAR EAST TERRACOTTA BOWL WITH GLAZE PAINT CA",$121.46,,
"Sold  Jan 16, 2019 INTACT-NEAR EAST BRONZE ANTILOPE ANIMAL STATUE POSSIBLY MEDIEVAL",$14.91,,
"Sold  Jan 13, 2019 PERFECT NEAR EAST MEDIEVAL BRONZE ANIMAL STATUE",$20.74,,
"Sold  Jan 9, 2019 *SC* BRONZE VESSEL ON THREE LEGS, ANCIENT NEAR EAST, 1st. mill. BC!",$99.00,"Frederiksberg, Denmark",https://www.ebay.com/itm/SC-BRONZE-VESSEL-ON-THREE-LEGS-ANCIENT-NEAR-EAST-1st-mill-BC/332986069181?hash=item4d878430bd%3Ag%3AhugAAOSwr7ZcKTNw&LH_Auction=1
"Sold  Jan 7, 2019 PERFECT-NEAR EAST MEDIEVAL BRONZE RING WITH PANTHER ON TOP",$67.41,,
"Sold  Jan 5, 2019 MUSEUM QUALITY-HUGE-BYZANTINE ERA NEAR EAST TERRACOTTA BOWL WITH GLAZE PAINT CA",$153.69,"CYPRUS, Cyprus",https://www.ebay.com/itm/MUSEUM-QUALITY-HUGE-BYZANTINE-ERA-NEAR-EAST-TERRACOTTA-BOWL-WITH-GLAZE-PAINT-CA/202551106781?hash=item2f28fc9cdd%3Ag%3A8%7EEAAOSwGUpcJ4E9&LH_Auction=1
"Sold  Jan 4, 2019 INTACT NEAR EAST CIRCA 500-300 BC HARD STONE BEAD SEAL",$11.67,"CYPRUS, Cyprus",https://www.ebay.com/itm/INTACT-NEAR-EAST-CIRCA-500-300-BC-HARD-STONE-BEAD-SEAL/202550305927?hash=item2f28f06487%3Ag%3AIUwAAOSw55FcJl3e&LH_Auction=1
