Object,Price,Location,Link
"Sold  Jan 19, 2019 20 x Neolithic Arrowheads - Genuine Saharan Flint Artifacts - 4000BC (2859)",$16.13,"Sunderland, United Kingdom",https://www.ebay.com/itm/20-x-Neolithic-Arrowheads-Genuine-Saharan-Flint-Artifacts-4000BC-2859/254064882827?hash=item3b2772748b%3Ag%3A6pUAAOSwuJRb40sP&LH_Auction=1
"Sold  Jan 19, 2019 Ultra Rare Huge Stone Age Ancient Neolithic Anthromorphic Vinca Idol 4500BC (1)",$77.44,"Didcot, United Kingdom",https://www.ebay.com/itm/Ultra-Rare-Huge-Stone-Age-Ancient-Neolithic-Anthromorphic-Vinca-Idol-4500BC-1/312428568064?hash=item48be319e00%3Ag%3ATYUAAOSwws5cPNrK&LH_Auction=1
"Sold  Jan 19, 2019 Danish neolithic, Danish flint axe,adze, neolithic 27 cm 1.8 kg",$335.00,"Heidelberg, Germany",https://www.ebay.com/itm/Danish-neolithic-Danish-flint-axe-adze-neolithic-27-cm-1-8-kg/153339503179?hash=item23b3bf224b%3Ag%3AMt4AAOSw7MNcPHc5&LH_Auction=1
"Sold  Jan 18, 2019 PRE COLUMBIAN IDOL STATUE NEOLITHIC ENIGMA “Ojuelos”",$750.00,,
"Sold  Jan 18, 2019 PRE COLUMBIAN PENDANT MASK NEOLITHIC ENIGMA “Ojuelos” BEAUTIFUL",$480.00,,
"Sold  Jan 18, 2019 2 Ancient Neolithic Clay Beads, Stone Age, VERY RARE !!  TOP !!",$14.50,"Bavaria, Germany",https://www.ebay.com/itm/2-Ancient-Neolithic-Clay-Beads-Stone-Age-VERY-RARE-TOP/143089679647?hash=item2150cf3d1f%3Ag%3AzysAAOSwBVdcO24H&LH_Auction=1
"Sold  Jan 18, 2019 5 Ancient Neolithic Flint Arrowheads, Circles, Stone Age, VERY RARE !!  TOP !!",$3.25,"Bavaria, Germany",https://www.ebay.com/itm/5-Ancient-Neolithic-Flint-Arrowheads-Circles-Stone-Age-VERY-RARE-TOP/143089676385?hash=item2150cf3061%3Ag%3AP24AAOSwtaBcO2y-&LH_Auction=1
"Sold  Jan 18, 2019 5 Ancient Neolithic Flint Arrowheads, Stone Age, VERY RARE !!  TOP !!",$5.52,"Bavaria, Germany",https://www.ebay.com/itm/5-Ancient-Neolithic-Flint-Arrowheads-Stone-Age-VERY-RARE-TOP/143089668189?hash=item2150cf105d%3Ag%3AqDsAAOSw7OdcO2wW&LH_Auction=1
"Sold  Jan 18, 2019 2 Ancient Neolithic Quartz Ear Plugs, Stone Age, VERY RARE !!",$1.25,"Bavaria, Germany",https://www.ebay.com/itm/2-Ancient-Neolithic-Quartz-Ear-Plugs-Stone-Age-VERY-RARE/153338611588?hash=item23b3b18784%3Ag%3A6WQAAOSwR3tcO2so&LH_Auction=1
"Sold  Jan 18, 2019 6 Ancient Neolithic Agate Beads, Stone Age TOP!",$4.00,"Bavaria, Germany",https://www.ebay.com/itm/6-Ancient-Neolithic-Agate-Beads-Stone-Age-TOP/153338608423?hash=item23b3b17b27%3Ag%3AdisAAOSwbKVcO2oA&LH_Auction=1
"Sold  Jan 18, 2019 20 Ancient Neolithic Carnelian, Red Jasper, Quartz Beads, Stone Age TOP!",$12.57,"Bavaria, Germany",https://www.ebay.com/itm/20-Ancient-Neolithic-Carnelian-Red-Jasper-Quartz-Beads-Stone-Age-TOP/143089649792?hash=item2150cec880%3Ag%3A-gIAAOSw2sxcO2hx&LH_Auction=1
"Sold  Jan 17, 2019 4 Ancient Neolithic Flint Arrowheads, Stone Age, VERY RARE !!  TOP !!",$2.94,"Bavaria, Germany",https://www.ebay.com/itm/4-Ancient-Neolithic-Flint-Arrowheads-Stone-Age-VERY-RARE-TOP/153337445405?hash=item23b39fbc1d%3Ag%3AKJkAAOSwAEFcOgNF&LH_Auction=1
"Sold  Jan 17, 2019 4 Ancient Neolithic Flint Arrowheads, Stone Age, VERY RARE !!  TOP !!",$2.94,"Bavaria, Germany",https://www.ebay.com/itm/4-Ancient-Neolithic-Flint-Arrowheads-Stone-Age-VERY-RARE-TOP/153337445405?hash=item23b39fbc1d%3Ag%3AKJkAAOSwAEFcOgNF&LH_Auction=1
"Sold  Jan 17, 2019 4 Ancient Neolithic Flint Arrowheads, Stone Age, VERY RARE !!  TOP !!",$0.99,"Bavaria, Germany",https://www.ebay.com/itm/4-Ancient-Neolithic-Flint-Arrowheads-Stone-Age-VERY-RARE-TOP/153337445405?hash=item23b39fbc1d%3Ag%3AKJkAAOSwAEFcOgNF&LH_Auction=1
