Object,Price,Location,Link
"Sold  Feb 7, 2019 arrow head+other flint tools and shards Linear pottery cultur5000-4000BC",$18.00,"Sunderland, United Kingdom",https://www.ebay.com/itm/arrow-head-other-flint-tools-and-shards-Linear-pottery-cultur5000-4000BC/264173256080?hash=item3d81f3fd90%3Ag%3A-fgAAOSwHDdcU02T&LH_Auction=1
"Sold  Feb 3, 2019 Historic Metal Detecting Finds with coins and Other Items",$4.75,"Mechanicsville, Maryland, United States",https://www.ebay.com/itm/Historic-Metal-Detecting-Finds-with-coins-and-Other-Items/264167053541?hash=item3d819558e5%3Ag%3AgwsAAOSwNXpcTkUX&LH_Auction=1
"Sold  Feb 3, 2019 Historic Metal Detecting Finds with coins and Other Items",$10.50,"Mechanicsville, Maryland, United States",https://www.ebay.com/itm/Historic-Metal-Detecting-Finds-with-coins-and-Other-Items/264167053541?hash=item3d819558e5%3Ag%3AgwsAAOSwNXpcTkUX&LH_Auction=1
"Sold  Jan 24, 2019 Arrowheads The Khazars 5th century. Different types of arrows and other accessor",$89.00,"Bad Schwalbach, Germany",https://www.ebay.com/itm/Arrowheads-The-Khazars-5th-century-Different-types-of-arrows-and-other-accessor/401686297177?hash=item5d865e7a59%3Ag%3AYqcAAOSws6dcPKKN&LH_Auction=1
"Sold  Jan 13, 2019 Ancient arrowheads jasper chert one is crude the other very nicely worked",$5.00,"Portland, Oregon, United States",https://www.ebay.com/itm/Ancient-arrowheads-jasper-chert-one-is-crude-the-other-very-nicely-worked/264122014935?hash=item3d7ee61cd7%3Ag%3ANZMAAOSw5wJcMo1N&LH_Auction=1
"Sold  Jan 8, 2019 Allow buyers to remain anonymous to other eBay users",$26.00,"henan, China",https://www.ebay.com/itm/Allow-buyers-to-remain-anonymous-to-other-eBay-users/132905979349?hash=item1ef1d04dd5%3Ag%3AUbMAAOSwXnxcLCSg&LH_Auction=1
"Sold  Jan 8, 2019 Allow buyers to remain anonymous to other eBay users",$0.11,"henan, China",https://www.ebay.com/itm/Allow-buyers-to-remain-anonymous-to-other-eBay-users/132905979349?hash=item1ef1d04dd5%3Ag%3AUbMAAOSwXnxcLCSg&LH_Auction=1
"Sold  Jan 8, 2019 Allow buyers to remain anonymous to other eBay users",$0.90,"henan, China",https://www.ebay.com/itm/Allow-buyers-to-remain-anonymous-to-other-eBay-users/132905979349?hash=item1ef1d04dd5%3Ag%3AUbMAAOSwXnxcLCSg&LH_Auction=1
"Sold  Dec 29, 2018 Arrowheads The Khazars 5th century. Different types of arrows and other accessor",$113.51,"Bad Schwalbach, Germany",https://www.ebay.com/itm/Arrowheads-The-Khazars-5th-century-Different-types-of-arrows-and-other-accessor/273622634177?hash=item3fb52e0ec1%3Ag%3AFcEAAOSwC8pb-A-d&LH_Auction=1
"Sold  Dec 17, 2018 Two Collectable Buckles,One c 6thc,Other To Date",$47.97,"North Antrim Coast, United Kingdom",https://www.ebay.com/itm/Two-Collectable-Buckles-One-c-6thc-Other-To-Date/401652390322?hash=item5d845919b2%3Ag%3A0ZYAAOSwDYdcClUc&LH_Auction=1
