Object,Price,Location,Link
"Sold  Jan 24, 2019 ANTIQUE ITALIAN ""CHINQUEDIA"" SHORT SWORD DAGGER, MEDIEVAL ERA, MASSIVE BLADE",$727.00,"Padova, Italy",https://www.ebay.com/itm/ANTIQUE-ITALIAN-CHINQUEDIA-SHORT-SWORD-DAGGER-MEDIEVAL-ERA-MASSIVE-BLADE/333015755112?hash=item4d89492968%3Ag%3AFfsAAOSwaaNcEyt1&LH_Auction=1
"Sold  Jan 24, 2019 ANTIQUE GERMAN ITALIAN RENAISSANCE KNIGHT'S LEFT HAND DAGGER FOR RAPIER SWORD",$435.00,"Padova, Italy",https://www.ebay.com/itm/ANTIQUE-GERMAN-ITALIAN-RENAISSANCE-KNIGHTS-LEFT-HAND-DAGGER-FOR-RAPIER-SWORD/233094897452?hash=item364589df2c%3Ag%3AsNUAAOSwyPlcEzBi&LH_Auction=1
"Sold  Jan 13, 2019 *SC*RARE ETRUSCAN SMALL VOLUTE POTTERY KRATER VESSEL, 4th.-5th. century BC!",$199.00,"Frederiksberg, Denmark",https://www.ebay.com/itm/SC-RARE-ETRUSCAN-SMALL-VOLUTE-POTTERY-KRATER-VESSEL-4th-5th-century-BC/223310258661?hash=item33fe5421e5%3Ag%3AC5MAAOSwHcFb0jxy&LH_Auction=1
"Sold  Dec 23, 2018 ANTIQUE VERY OLD MEDIEVAL ITALIAN SPANISH OR FRENCH STILETTO DAGGER sword knife",$250.00,"Wallingford, Connecticut, United States",https://www.ebay.com/itm/ANTIQUE-VERY-OLD-MEDIEVAL-ITALIAN-SPANISH-OR-FRENCH-STILETTO-DAGGER-sword-knife/332950140543?hash=item4d855ff67f%3Ag%3Aij4AAOSwEfVcEzRu&LH_Auction=1
"Sold  Dec 23, 2018 ANTIQUE GERMAN ITALIAN RENAISSANCE KNIGHT'S LEFT HAND DAGGER FOR RAPIER SWORD",$622.00,"Wallingford, Connecticut, United States",https://www.ebay.com/itm/ANTIQUE-GERMAN-ITALIAN-RENAISSANCE-KNIGHTS-LEFT-HAND-DAGGER-FOR-RAPIER-SWORD/233046047960?hash=item3642a07cd8%3Ag%3AsNUAAOSwyPlcEzBi&LH_Auction=1
"Sold  Dec 23, 2018 ANTIQUE ITALIAN ""CHINQUEDIA"" SHORT SWORD DAGGER, MEDIEVAL ERA, MASSIVE BLADE",$676.66,"Wallingford, Connecticut, United States",https://www.ebay.com/itm/ANTIQUE-ITALIAN-CHINQUEDIA-SHORT-SWORD-DAGGER-MEDIEVAL-ERA-MASSIVE-BLADE/332950090654?hash=item4d855f339e%3Ag%3AFfsAAOSwaaNcEyt1&LH_Auction=1
"Sold  Dec 22, 2018 Arte Italica Made In Italy Brass Candelabras",$355.00,"Lake Stevens, Washington, United States",https://www.ebay.com/itm/Arte-Italica-Made-In-Italy-Brass-Candelabras/223286170870?hash=item33fce494f6%3Ag%3ACDQAAOSwO7dcFYXe&LH_Auction=1
"Sold  Dec 4, 2018 Antiques Brevettato Brass Candelabrums  Green Marble Cherub Candle Vintage Italy",$275.00,,
"Sold  Nov 13, 2018 Antique World War 1 Plane Flag From Shot Down Plane Maltese Flag WW1 History","$3,000.00","Clayton, Delaware, United States",https://www.ebay.com/itm/Antique-World-War-1-Plane-Flag-From-Shot-Down-Plane-Maltese-Flag-WW1-History/143007651463?hash=item214beb9687%3Ag%3AuiUAAOSwAuJb02-I&LH_Auction=1
"Sold  Nov 14, 2018 *SC*ANCIENT SOUTH ITALIAN GREEK OR ETRUSCAN WINE CUP / KANTHAROS, 350 BC!",$159.00,"Frederiksberg, Denmark",https://www.ebay.com/itm/SC-ANCIENT-SOUTH-ITALIAN-GREEK-OR-ETRUSCAN-WINE-CUP-KANTHAROS-350-BC/332867414397?hash=item4d8071a97d%3Ag%3AdCsAAOSwseZb33Ee&LH_Auction=1
"Sold  Nov 11, 2018 Beautiful Ancient Greek South Italian Corinthian Oinoche. 350 B.C. Remarkable.",$31.11,,
"Sold  Nov 23, 2018 THREE INTERESTING VERY OLD CLAY ANTIQUITIES POSSIBLY EGYPTIAN OR SOUTH AMERICAN",$41.48,"Lummi Island, Washington, United States",https://www.ebay.com/itm/THREE-INTERESTING-VERY-OLD-CLAY-ANTIQUITIES-POSSIBLY-EGYPTIAN-OR-SOUTH-AMERICAN/143018419111?hash=item214c8fe3a7%3Ag%3AxHcAAOSwkFZb8bE8&LH_Auction=1
