Object,Price,Location,Link
"Sold  Jan 19, 2019 LOVELY VINTAGE ANTIQUE VIKING BRONZE RING museum quality ARTIFACT AMAZING RARE",$0.99,"MOROCCO, Morocco",https://www.ebay.com/itm/LOVELY-VINTAGE-ANTIQUE-VIKING-BRONZE-RING-museum-quality-ARTIFACT-AMAZING-RARE/382731366921?hash=item591c913209%3Ag%3A6QgAAOSwj91cNnc5&LH_Auction=1
"Sold  Jan 19, 2019 ANCIENT RARE 100% Authentic Good Viking Adze Chisel Tool 9-10AD Kievan Rus",$39.00,"Kiev, Ukraine",https://www.ebay.com/itm/ANCIENT-RARE-100-Authentic-Good-Viking-Adze-Chisel-Tool-9-10AD-Kievan-Rus/352567338688?hash=item5216a6a6c0%3Ag%3Ar30AAOSwyPlcFWjP&LH_Auction=1
"Sold  Jan 19, 2019 Post Medieval period samovar parts.",$9.99,,
"Sold  Jan 19, 2019 RARE VIKING ERA IRON AXE HEAD 8TH-11TH C AD - 794grams - TERRIBLE WEAPON",$45.00,"Europe, Ukraine",https://www.ebay.com/itm/RARE-VIKING-ERA-IRON-AXE-HEAD-8TH-11TH-C-AD-794grams-TERRIBLE-WEAPON/323646484437?hash=item4b5ad56fd5%3Ag%3Al%7EgAAOSwFtNcOiEc&LH_Auction=1
"Sold  Jan 19, 2019 Post Medieval period padlock & keys. 18 Century",$12.00,"Tartu, Estonia",https://www.ebay.com/itm/Post-Medieval-period-padlock-keys-18-Century/392213588198?hash=item5b51c068e6%3Ag%3AUB0AAOSwMKVcObK1&LH_Auction=1
"Sold  Jan 19, 2019 Post Medieval period belt buckle. 18 Century",$4.99,"Tartu, Estonia",https://www.ebay.com/itm/Post-Medieval-period-belt-buckle-18-Century/392213587804?hash=item5b51c0675c%3Ag%3AKvIAAOSwKXhcObJW&LH_Auction=1
"Sold  Jan 19, 2019 Amazing-Ancient-Touareg-Bronze-Col-Silver-Ring-Beautiful",$3.40,"Marrakech, Morocco",https://www.ebay.com/itm/Amazing-Ancient-Touareg-Bronze-Col-Silver-Ring-Beautiful/132916635261?hash=item1ef272e67d%3Ag%3A7fEAAOSwGUpcML5N&LH_Auction=1
"Sold  Jan 19, 2019 Rare Ancient Silver Viking Thors Hammer Amulet Pendant C 8th / 9th.cent AD.",$23.50,"Sofia, Bulgaria",https://www.ebay.com/itm/Rare-Ancient-Silver-Viking-Thors-Hammer-Amulet-Pendant-C-8th-9th-cent-AD/183633593814?hash=item2ac16a45d6%3Ag%3AG2kAAOSw8VtcOkF4&LH_Auction=1
"Sold  Jan 19, 2019 EXTREMELY RARE Ancient VIKING SILVER-BRONZE SNAKE HEAD RING DECORATED DESIGN",$15.50,"Marrakech, Morocco",https://www.ebay.com/itm/EXTREMELY-RARE-Ancient-VIKING-SILVER-BRONZE-SNAKE-HEAD-RING-DECORATED-DESIGN/173737355306?hash=item28738da82a%3Ag%3ArSIAAOSw-GNcOkJe&LH_Auction=1
"Sold  Jan 19, 2019 Rare Unique Stunning Ancient Silver Viking Twisted Ring C 8th / 11th.cent AD.",$6.50,"Sofia, Bulgaria",https://www.ebay.com/itm/Rare-Unique-Stunning-Ancient-Silver-Viking-Twisted-Ring-C-8th-11th-cent-AD/173737342931?hash=item28738d77d3%3Ag%3AzVMAAOSw6EpcOki6&LH_Auction=1
"Sold  Jan 19, 2019 Rare Ancient Silver Viking Thors Hammer Amulet Pendant C 8th / 9th.cent AD.",$9.00,"Sofia, Bulgaria",https://www.ebay.com/itm/Rare-Ancient-Silver-Viking-Thors-Hammer-Amulet-Pendant-C-8th-9th-cent-AD/183633593814?hash=item2ac16a45d6%3Ag%3AG2kAAOSw8VtcOkF4&LH_Auction=1
"Sold  Jan 19, 2019 Rare Ancient Silver Viking Thors Hammer Amulet Pendant C 8th / 9th.cent AD.",$10.00,"Sofia, Bulgaria",https://www.ebay.com/itm/Rare-Ancient-Silver-Viking-Thors-Hammer-Amulet-Pendant-C-8th-9th-cent-AD/183633593814?hash=item2ac16a45d6%3Ag%3AG2kAAOSw8VtcOkF4&LH_Auction=1
"Sold  Jan 19, 2019 Ancient Viking Bronze Ring Artifact Museum Quality Artifact Very Stunning",$0.01,"Rabat, Morocco",https://www.ebay.com/itm/Ancient-Viking-Bronze-Ring-Artifact-Museum-Quality-Artifact-Very-Stunning/264126776151?hash=item3d7f2ec357%3Ag%3APHoAAOSwcf9cI7Fr&LH_Auction=1
