Date,Object,Price,Location,Category,Link
2018-11-06 00:00:00,"Sold  Nov 6, 2018 ANCIENT LA TENE PERIOD CELTIC BRONZE FIBULA  - RARE !",13.5,Austria,celt,https://www.ebay.com/itm/ANCIENT-LA-TENE-PERIOD-CELTIC-BRONZE-FIBULA-RARE/153239575920?hash=item23adca5d70%3Ag%3AAaIAAOSwPrtb2OfO&LH_Auction=1
2018-12-01 00:00:00,"Sold  Dec 1, 2018 1960s RARE JOHANN STEINBRENER MINIATURE KORAN QURAN CORAN ANTIQUE ISLAMIC BOOK",42.0,Czech Republic,islamic,https://www.ebay.com/itm/1960s-RARE-JOHANN-STEINBRENER-MINIATURE-KORAN-QURAN-CORAN-ANTIQUE-ISLAMIC-BOOK/202506399708?hash=item2f26526fdc%3Ag%3AcroAAOSwze5brPst&LH_Auction=1
2018-12-07 00:00:00,"Sold  Dec 7, 2018 Old Green Turquoise Stone Quran Surah Ayah Dua Pendant 64.3 gr H 76 mm W 76 mm",24.99,Thailand,islamic,https://www.ebay.com/itm/Old-Green-Turquoise-Stone-Quran-Surah-Ayah-Dua-Pendant-64-3-gr-H-76-mm-W-76-mm/323578758264?hash=item4b56cc0478%3Ag%3ATf8AAOSwqkRcA6mt&LH_Auction=1
2018-10-28 00:00:00,"Sold  Oct 28, 2018 Lot Of 3 Ancient Pre Columbian Pottery heads & Faces",26.0,United States,america,https://www.ebay.com/itm/Lot-Of-3-Ancient-Pre-Columbian-Pottery-heads-Faces/163327621206?hash=item260715b856%3Ag%3AsakAAOSwRxJbzNeG&LH_Auction=1
2018-10-21 00:00:00,"Sold  Oct 21, 2018 M Begay, NAVAHO SILVER Bear with Turquoise, Coral  Native American PENDANT",29.99,United States,america,https://www.ebay.com/itm/M-Begay-NAVAHO-SILVER-Bear-with-Turquoise-Coral-Native-American-PENDANT/382560221420?hash=item59125db8ec%3Ag%3A3kUAAOSwZtNbxqqS&LH_Auction=1
2018-12-09 00:00:00,"Sold  Dec 9, 2018 MEDIEVAL OTTOMAN SILVER POISON BOX - SUPERB, RARE!",2.25,Bosnia and Herzegovina,islamic,https://www.ebay.com/itm/MEDIEVAL-OTTOMAN-SILVER-POISON-BOX-SUPERB-RARE/132871994186?hash=item1eefc9bb4a%3Ag%3An8sAAOSw2opbxlWL&LH_Auction=1
2018-12-16 00:00:00,"Sold  Dec 16, 2018 AMAZING ENGRAVED ANCIENT SILVER ROMAN RING - unique shape . circa IV century",35.0,,roman,
2018-11-21 00:00:00,"Sold  Nov 21, 2018 VINTAGE ISLAMIC ORIGINAL PERFECT SILVER FILGREE HANDMADE AMAZING TURKISH BELT",0.99,Greece,islamic,https://www.ebay.com/itm/VINTAGE-ISLAMIC-ORIGINAL-PERFECT-SILVER-FILGREE-HANDMADE-AMAZING-TURKISH-BELT/163367926922?hash=item26097cbc8a%3Ag%3A%7EN8AAOSwK65b6FEJ&LH_Auction=1
2018-12-23 00:00:00,"Sold  Dec 23, 2018 ** BLUE STONE **  ancient  SILVER  PERSIAN ring !!!",119.0,Thailand,islamic,https://www.ebay.com/itm/BLUE-STONE-ancient-SILVER-PERSIAN-ring/113449722783?hash=item1a6a21639f%3Ag%3Ar%7E0AAOSw-zha08wB&LH_Auction=1
2018-12-23 00:00:00,"Sold  Dec 23, 2018 Roman seal ring with engraved emeror on ship",3.0,Slovakia,roman,https://www.ebay.com/itm/Roman-seal-ring-with-engraved-emeror-on-ship/292872491150?hash=item44308f908e%3Ag%3Aa2AAAOSwT2hcFiwl&LH_Auction=1
