"jewellery | objectExtra","vessel | objectExtra","weapon | objectExtra","text | objectExtra","clothing | objectExtra","statue | objectExtra","household | objectExtra","coin | objectExtra","mask | objectExtra","religious | objectExtra","tool | objectExtra","roman | cultures","islamic | cultures","egyptian  | cultures","greek | cultures","viking | cultures","central asia | cultures","bronze age | cultures","iron age | cultures","america | cultures","pre-historic | cultures","china | cultures","japan | cultures","buddhist | cultures","near east | cultures","mongul | cultures","metal | materialType","stone | materialType","terracotta | materialType","decoration | objectExtra","cambodian | cultures","bone | materialType","russian | cultures","celtic | cultures","european | cultures","glass | materialType","wood | materialType","painting | objectType","portrait | objectTypes","africa | cultures","medieval | cultures","ivory | materialType","papyrus | materialType","leather | materialType","india | cultures"
"bangle","olpe","cuiras","inscription","broach","statuette","brick","denarius","mask","crucifix","spur","rome","andalus","egypt","athena","norse","sythian","bronze age","iron age","maya","pre historic","china","japan","buddhist","yemen","mongul","brass","flint","clay","ornament","khmer","epiphysis","russia","seltic","renaissance","vitrified","wood","painting","portrait","africa","anglo","ivory","papyrus","leather","india"
"pendent","trulla","dager","calligraphy","sock","faience cat","candlestick","stater","cartonagge","goran","fire starter","romano","gajar","pharao","greco","nordic","khanate",,,"aztec","stone age","chinese","japanese",,"bedouin",,"lead","crystal","faience","plaque","thailand",,"russiam","celtic","baroque","glass",,,,,"saxon",,,,"mogul"
"stone head","kylix","arow","writing","shoe"," bust","strapend","tetradrachm",,"anubis","knife","roman","quran","pharaoh","mycenaean","viking","bactria",,,"native american","mesolithic","ming",,,"arabic",,"electrum","amber","ceramic","decoration","thai",,"russian",,"europe",,,,,," frank ",,,,
"galss fish","rhython","sheath","hieroglyphs","fibula","relief","strap end","follis",,"quran","fire striker","etruscan","khazar","ptolemaic","macedonia",,"kazar",,,"pre columbian","chalcolithic",,,,"yamani",," tin","alabaster","pottery",,"kamer",,,,,,,,,,"frisia",,,,
"inlay","unquentarium","military fitting","graffiti","gilt cloth","idol","headrest","sceat",,"deity","stylus",,"sulimani","egyptian","byzantine",,"khazar",,,"mexico","paleolithic",,,,"yemani",,"silver","marble","terracotta",,"cambodia",,,,,,,,,,"medieval",,,,
"medallion","coffee pot","lorica","inscribed","clothing","stone carving","furniture","sceatta",,"horus","sickle",,"koran",,"mycenean",,"scythian",,,"pre-columbian","palaeolithic",,,,"persia",,"gold","obsidian",,,"camodian",,,,,,,,,,,,,,
"earring","chalice","armour","book","cloth","statuete"," key","coinage",,"fitting","egzagia",,"islam",,"cypriot",,"central asia",,,"olmec","prehistoric",,,,"persian",,,"stone",,,,,,,,,,,,,,,,,
"earing","teapot","arowhead","manuscript","button","engraving","altar","antoninianus",,"sekhmet","quern",,"islamic",,"greek",,,,,"pueblo","pre-historic",,,,"judaea",,,,,,,,,,,,,,,,,,,,
"scarab","surma-dani","aroowhead","foundation cone","belt","statuete","spoon","argenteus",,"hermes","mount",,,,,,,,,"apache",,,,,"judea",,,,,,,,,,,,,,,,,,,,
" scrab","surma dani","knife"," script","belt","figurine","cigarette holder","aureus",,"ritual","wheel",,,,,,,,,"columbian",,,,,"holy land",,,,,,,,,,,,,,,,,,,,
" seal ","soorma dani","knives","tablet","buckle","shabti","gaming","dupondius",,"sakhmet","strap fitting",,,,,,,,,,,,,,"phoenician",,,,,,,,,,,,,,,,,,,,
"signet","skyphos","point","latin",,"ushabti","nail","follis",,"sakhet","harness",,,,,,,,,,,,,,"israel",,,,,,,,,,,,,,,,,,,,
"bleisiegel","cosmetic","mace","cuneiform",,"shebti","mosaic","sestertius",,"baptism","walking stick",,,,,,,,,,,,,,"mesopotamia",,,,,,,,,,,,,,,,,,,,
"bezel","pitcher","dagger","sanskrit",,"statue","mirror","daric",,"votive","adze",,,,,,,,,,,,,,"hittite",,,,,,,,,,,,,,,,,,,,
" ring","lamp","projectile",,,,"triptych","sigloi",,"koran","stamp",,,,,,,,,,,,,,"middle east",,,,,,,,,,,,,,,,,,,,
"jewellery","kettle","shield",,,,"dice","drachma",,"holy","razor",,,,,,,,,,,,,,"canaanite",,,,,,,,,,,,,,,,,,,,
,"cup","sabre",,,,"smoking pipe","talent",,"orthodox","whistle",,,,,,,,,,,,,,"crusader",,,,,,,,,,,,,,,,,,,,
,"beaker","helmet",,,,"thimble","termissis",,"buddha","pestle",,,,,,,,,,,,,,"assyria",,,,,,,,,,,,,,,,,,,,
,"jug","spear",,,,,"money",,"hindu","comb",,,,,,,,,,,,,,"near east",,,,,,,,,,,,,,,,,,,,
,"flaggon","military standard",,,,,"coin",,"jesus","mortar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"bottle","akinak",,,,,,,"isis","hook",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"flask","arrow head",,,,,,,"cross","knives",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"cup","arrowhead",,,,,,,"thoth","chisel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"vase","battle axe",,,,,,,"amulet","needle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"lantern","weapon",,,,,,,"amuelt","chisle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"censer",,,,,,,,"zeus","spindle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
," pot",,,,,,,,"thor","weight",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"celadon",,,,,,,,"religious","medical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"cauldron",,,,,,,,," seal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"amphora",,,,,,,,,"scale",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"vessel",,,,,,,,,"mold",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"scarab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,," scrab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
