Date,Object,Price,Location,Category,Object Type,Material,Seller,Link
2019-12-10 00:00:00,"Dec 10, 2019   Musueum Quality Artifact Roman viking Silver Bronze Military Bracelet Amazing",49.99,Morocco,roman | viking | ,jewellery | ,metal | ,antika777,https://www.ebay.com/itm/Musueum-Quality-Artifact-Roman-viking-Silver-Bronze-Military-Bracelet-Amazing/352874025357?hash=item5228ee518d%3Ag%3AgTYAAOSwl9FdmNUd&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019  ancient bronze mirror",27.0,Russia,?,household | ,metal | ,petblino-0,https://www.ebay.com/itm/ancient-bronze-mirror/163975272500?hash=item262db01834%3Ag%3Aa9sAAOSw3d9d6OmK&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019  ANTIQUE STONE EYE IDOL",67.0,France,?,statue | ,stone | ,masterpiece*,https://www.ebay.com/itm/ANTIQUE-STONE-EYE-IDOL/274125815579?hash=item3fd32bff1b%3Ag%3AfzQAAOSwru1d5oeT&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019  AUTHENTIC CIRCA 1400 AD MISSISSIPPIAN POTTERY BOWL, MISSISSIPPI. CO., ARK",106.38,United States,?,vessel | ,terracotta | ,rocketflyer,https://www.ebay.com/itm/AUTHENTIC-CIRCA-1400-AD-MISSISSIPPIAN-POTTERY-BOWL-MISSISSIPPI-CO-ARK/362812026644?hash=item5479482f14%3Ag%3Al64AAOSwJ%7EhdzDAo&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019  CELTIC SILVER TWISTED BRACELET",63.0,Bulgaria,celtic | ,jewellery | ,metal | ,vint-ant,https://www.ebay.com/itm/CELTIC-SILVER-TWISTED-BRACELET/264557078183?hash=item3d98d4a6a7%3Ag%3AGIcAAOSwC-5d3Vk2&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 1 Ancient Roman Agate Bead Romans VERY RARE!  TOP !!",9.0,Germany,roman | ,jewellery | ,stone | ,caracalla10,https://www.ebay.com/itm/1-Ancient-Roman-Agate-Bead-Romans-VERY-RARE-TOP/143462757864?hash=item21670bf5e8%3Ag%3ANSIAAOSwLfxd6TL-&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 10 Ancient Neolithic Agate Beads, Stone Age, RARE! TOP !!",16.5,Germany,pre-historic | ,jewellery | ,stone | ,caracalla10,https://www.ebay.com/itm/10-Ancient-Neolithic-Agate-Beads-Stone-Age-RARE-TOP/153751115723?hash=item23cc47d7cb%3Ag%3AlUIAAOSwJ5Bd6TkZ&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 10 Ancient Neolithic Quartz, Rock Crystal, Agate Beads, Stone Age, RARE!",15.0,Germany,pre-historic | ,jewellery | ,stone | ,caracalla10,https://www.ebay.com/itm/10-Ancient-Neolithic-Quartz-Rock-Crystal-Agate-Beads-Stone-Age-RARE/143462771417?hash=item21670c2ad9%3Ag%3A99oAAOSwdz9d6TbH&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 10 Ancient Roman Carnelian Beads Romans VERY RARE!  TOP !!",13.5,Germany,roman | ,jewellery | ,stone | ,caracalla10,https://www.ebay.com/itm/10-Ancient-Roman-Carnelian-Beads-Romans-VERY-RARE-TOP/153751087694?hash=item23cc476a4e%3Ag%3A9WsAAOSwVc9d6THD&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 10 Ancient Roman Carnelian, Rock Crystal Beads Romans VERY RARE!  TOP !!",10.5,Germany,roman | ,jewellery | ,stone | ,caracalla10,https://www.ebay.com/itm/10-Ancient-Roman-Carnelian-Rock-Crystal-Beads-Romans-VERY-RARE-TOP/143462755223?hash=item21670beb97%3Ag%3AMuYAAOSwCOhd6TJA&LH_Auction=1
