Object,Price,Figure
"Sold  Jan 13, 2019 LOT OF 3  CELTIC WHEEL MONEY",$0.99,10668.jpg
"Sold  Jan 13, 2019 4 Ancient Celtic Artefacts - Fibula",$48.00,1549.jpg
"Sold  Jan 13, 2019 EVIL EYE BRONZE CELTIC APPLIQUE",$1.99,3407.jpg
"Sold  Jan 13, 2019 BYZANTINE LEAD BROCH PEDANT WITH GREEN AND WHITE BEADS",$9.99,1894.jpg
"Sold  Jan 13, 2019 CELTIC MASSIVE  SNAKE BRONZE EARRING",$15.50,12251.jpg
"Sold  Jan 13, 2019 BRONZE ROMAN SQUARE WITH GLASS PASTE RARE",$1.99,9380.jpg
"Sold  Jan 13, 2019  Perfect-Ancient-Celtic-Bronze-Ring-Pendant-Proto-Money",$9.99,9101.jpg
"Sold  Jan 13, 2019 3 Ancient Celtic Glass Beads Celts VERY RARE!  TOP !!",$31.00,1945.jpg
"Sold  Jan 13, 2019 BIG RARE CELTIC WHEEL PROTO Money 800 BC 400 BC , BRONZE , 32,35 GRAMS 55MM",$41.00,9333.jpg
"Sold  Jan 12, 2019 1700's - 1800's  CELTIC STYLE ORTHODOX BELIEVERS CROSS    POSSIBLY SILVER",$14.50,241.jpg
"Sold  Jan 12, 2019 Celtic or Roman Pendant Amulet with authentic decorative paste (Authentic 100 %)",$1.00,11947.jpg
"Sold  Jan 12, 2019 Celtic Pendant Amulet Miniature Sword  III- II century BC.(Authentic 100 %)",$1.00,5628.jpg
"Sold  Jan 12, 2019  VIKING BRONZE HANGER WITH TWO HOOKS",$0.99,4876.jpg
"Sold  Jan 12, 2019 MILITARY ROMAN CROSS SHAPE APPLIQUE",$0.99,10818.jpg
"Sold  Jan 12, 2019 unknown artifact from bronze",$0.99,6630.jpg
"Sold  Jan 12, 2019  RARE-ANCIENT-IRON-ARROWHEAD-ARCHERS-BATTLE-WEAPON",$1.99,4311.jpg
"Sold  Jan 12, 2019 CELTIC SOCK APPLICATION BRONZE evil eye",$0.99,6934.jpg
"Sold  Jan 12, 2019 ANCIENT BEADS, Ancient Roman Bronze Beads",$0.99,4993.jpg
"Sold  Jan 12, 2019 Ancient celtic bronze ring money proto coin circa 400 BC",$15.50,6460.jpg
"Sold  Jan 12, 2019 CELTIC BRONZE OMEGA BRACALET",$3.99,12642.jpg
"Sold  Jan 12, 2019 *RARE*  thrace button triskeles-bronze time celts 400-300 before christ",$3.25,5159.jpg
"Sold  Jan 12, 2019 ANCIENT LARGE ROMAN BUTTON",$0.99,6686.jpg
"Sold  Jan 12, 2019 Roman seal ring with engraved lion",$3.25,1441.jpg
"Sold  Jan 12, 2019 Celtic brooches",$15.50,7992.jpg
"Sold  Jan 12, 2019 Roman brooch",$18.50,4425.jpg
"Sold  Jan 12, 2019 Roman zoomorphic brooch",$22.50,11030.jpg
"Sold  Jan 12, 2019 Roman protective amulet",$0.99,12283.jpg
"Sold  Jan 12, 2019 Roman seal / signet ring",$5.00,2305.jpg
"Sold  Jan 12, 2019 Roman silver writing tool- stylus",$31.00,5250.jpg
"Sold  Jan 12, 2019 Roman iron key",$2.25,4502.jpg
"Sold  Jan 12, 2019 Roman medical equipment",$378.00,6150.jpg
"Sold  Jan 12, 2019 Lot of 5 Roman and Celtic brooch #2",$36.55,3513.jpg
"Sold  Jan 12, 2019 Lot of 5 Roman and Celtic brooch",$76.00,11645.jpg
"Sold  Jan 12, 2019 Roman silvered knee brooch",$20.50,11889.jpg
"Sold  Jan 12, 2019 Roman legionary brooch",$32.00,10858.jpg
"Sold  Jan 12, 2019 2 types bronze arrow heads - Bronze Age",$16.50,6315.jpg
"Sold  Jan 12, 2019 Celtic brooch - Bronze Age #2",$18.50,7058.jpg
"Sold  Jan 12, 2019 Celtic brooch - Bronze Age",$21.50,5543.jpg
"Sold  Jan 11, 2019 Saber / Sword of Khazar Khaganate (about 8 - 9 centuries) ORIGINAL! Length 72 cm",$172.50,10107.jpg
"Sold  Jan 11, 2019 Saber / Sword of Khazar Khaganate (about 8 - 9 centuries) ORIGINAL! Length 80 cm",$170.00,7.jpg
"Sold  Jan 11, 2019 Sword of the Viking. The Vikings. Big Battle/Combat sword.",$999.00,8402.jpg
"Sold  Jan 11, 2019  ANCIENT CELTIC VOTIVE BRONZE KNIFE AMULET PENDANT.",$19.99,875.jpg
"Sold  Jan 11, 2019  ANCIENT CELTIC  BRONZE MIRROR .",$29.99,11369.jpg
"Sold  Jan 9, 2019 DANUBIAN HORSEMAN CULT ANCIENT CELTIC ROMAN LEAD VOTIVE PLAQUE 1-3 ct.AD 84 mm",$200.00,10459.jpg
"Sold  Jan 9, 2019 Lot 6 Ancient celtic bronze ring money proto coin circa 500 BC",$10.00,7967.jpg
"Sold  Jan 9, 2019 Amulet bronze replica SELTIC",$0.99,7740.jpg
"Sold  Jan 8, 2019 Celtic ring/proto money...odd shape! Rare.",$3.99,7793.jpg
"Sold  Jan 8, 2019 Celtic ring/proto money, odd shapes!  Rare.",$3.99,3725.jpg
"Sold  Jan 8, 2019 Celtic ring/proto money...odd shape!   Rare.",$3.99,4282.jpg
"Sold  Jan 7, 2019 Scythian bronze helmet. Scythians.  3-6 centuries AD. Skythischer Bronze-Helm.","$1,500.00",1883.jpg
"Sold  Jan 6, 2019 216743291",$250.00,7754.jpg
"Sold  Jan 6, 2019 Scythian bronze helmet. Scythians. About 1-3 century.","$2,425.00",402.jpg
"Sold  Jan 6, 2019 Sword of the Viking. The Vikings. Combat Sword.","$3,051.55",12213.jpg
"Sold  Jan 6, 2019 Meotian sword. Meoty. 4th century. Very good condition. Length 70 cm.",$610.00,12068.jpg
"Sold  Jan 6, 2019 Two head SNAKE ** CELTIC / ROMAN Bronze RING **",$3.84,945.jpg
"Sold  Jan 6, 2019 FERTILITY BRONZE PENDANT ROMAN",$0.99,977.jpg
"Sold  Jan 6, 2019 Rare ROMAN Artifact - Military Legionary Lead WHISTLE",$19.99,10446.jpg
"Sold  Jan 6, 2019 ANCIENT BRONZE SNAKE BRACELET",$3.99,3318.jpg
"Sold  Jan 6, 2019 SILVER LARGE LA TENE CELTIC TYPE BROOCH / FIBULA",$19.99,9925.jpg
