Object,Price,Location,Link
"Sold  Feb 21, 2019 Iron Age Ring With Prehistoric ""Ring and Dot"" Motif",$9.99,"Europe, Ukraine",https://www.ebay.com/itm/Iron-Age-Ring-With-Prehistoric-Ring-and-Dot-Motif/123641080622?hash=item1cc9952b2e%3Ag%3AYi0AAOSw5bxcK6kL&LH_Auction=1
"Sold  Feb 20, 2019 ANCIENT EARLY BRONZE CELTIC AXE",$79.00,"London, United Kingdom",https://www.ebay.com/itm/ANCIENT-EARLY-BRONZE-CELTIC-AXE/183679318481?hash=item2ac423f9d1%3Ag%3As6gAAOSwg-tcNj0Y&LH_Auction=1
"Sold  Feb 20, 2019 ANCIENT BRONZE  CELTIC AXE",$52.00,"London, United Kingdom",https://www.ebay.com/itm/ANCIENT-BRONZE-CELTIC-AXE/183679242997?hash=item2ac422d2f5%3Ag%3ABJEAAOSwbmFcYFiL&LH_Auction=1
"Sold  Feb 18, 2019 Scythian bronze helmet. Scythians. About 1-3 century.","$1,825.00","london, Lithuania",https://www.ebay.com/itm/Scythian-bronze-helmet-Scythians-About-1-3-century/273693521834?hash=item3fb967b7aa%3Ag%3AF5sAAOSwEppcJW-6&LH_Auction=1
"Sold  Feb 18, 2019 Meotian sword. Meoty. 4th century. Very good condition. Length 70 cm.",$300.00,"Kiev, Ukraine",https://www.ebay.com/itm/Meotian-sword-Meoty-4th-century-Very-good-condition-Length-70-cm/273693481075?hash=item3fb9671873%3Ag%3AZ7IAAOSwE7db0crS&LH_Auction=1
"Sold  Feb 17, 2019 VERY RARE Pottery Celtic Idol  circa 500-300 BC. VERY INTERESTING",$77.00,"Mainz, Germany",https://www.ebay.com/itm/VERY-RARE-Pottery-Celtic-Idol-circa-500-300-BC-VERY-INTERESTING/254118317465?hash=item3b2aa1cd99%3Ag%3AIq4AAOSw8VNcYHmE&LH_Auction=1
"Sold  Feb 17, 2019 VERY RARE Pottery Celtic Cup , Ship  circa 500-300 BC.",$46.45,,
"Sold  Feb 17, 2019 VERY RARE Pottery Celtic Ritual Vessel  circa 500-300 BC. RESTORED",$22.50,,
"Sold  Feb 17, 2019 Large Celtic Bronze Brooch Fibula",$17.99,,
"Sold  Feb 17, 2019 Antique rare DUTCH DOGON or RUSSIAN GLASS BEAD translucent cobald blue and green",$5.50,"Tucson, Arizona, United States",https://www.ebay.com/itm/Antique-rare-DUTCH-DOGON-or-RUSSIAN-GLASS-BEAD-translucent-cobald-blue-and-green/153369150202?hash=item23b58382fa%3Ag%3ADj4AAOSwozNcWsf%7E&LH_Auction=1
"Sold  Feb 17, 2019 2 ancient rare CELTIC or Viking Norseman GLASS BEADS translucent red and pink",$26.99,"phuket, Thailand",https://www.ebay.com/itm/2-ancient-rare-CELTIC-or-Viking-Norseman-GLASS-BEADS-translucent-red-and-pink/153369148756?hash=item23b5837d54%3Ag%3Azx4AAOSwWbZcXCrY&LH_Auction=1
"Sold  Feb 17, 2019 Ax  culture of Gava-Goligrady is approximately 1250-1050 BC",$160.50,,
"Sold  Feb 16, 2019 Celtic Sword , 1- 2 century AD",$362.00,"Bath, United Kingdom",https://www.ebay.com/itm/Celtic-Sword-1-2-century-AD/233123587568?hash=item36473fa5f0%3Ag%3AjMEAAOSwEp5cWr3t&LH_Auction=1
"Sold  Feb 16, 2019 BYZANTINE  SQUARE APPLIQUE with cross inside",$1.99,"SR, Bosnia and Herzegovina",https://www.ebay.com/itm/BYZANTINE-SQUARE-APPLIQUE-with-cross-inside/273694637102?hash=item3fb978bc2e%3Ag%3AFIEAAOSwUBlcXyFV&LH_Auction=1
"Sold  Feb 16, 2019 Celtic iron pole tool approx. 6 "" long, 2 1/2 "" wide where it fans out",$1.00,"East Weymouth, Massachusetts, United States",https://www.ebay.com/itm/Celtic-iron-pole-tool-approx-6-long-2-1-2-wide-where-it-fans-out/123641269637?hash=item1cc9980d85%3Ag%3A5TAAAOSwJOJcTUdt&LH_Auction=1
"Sold  Feb 16, 2019 EVIL EYE BRONZE CELTIC APPLIQUE",$5.50,"SR, Bosnia and Herzegovina",https://www.ebay.com/itm/EVIL-EYE-BRONZE-CELTIC-APPLIQUE/273694624428?hash=item3fb9788aac%3Ag%3ADhoAAOSwzMlcXx02&LH_Auction=1
"Sold  Feb 15, 2019 Scythian helmet. Scythians. Approximately 4th century.","$1,903.00","Bad Schwalbach, Germany",https://www.ebay.com/itm/Scythian-helmet-Scythians-Approximately-4th-century/401701531773?hash=item5d8746f07d%3Ag%3A4ScAAOSw%7EKNcKBu8&LH_Auction=1
"Sold  Feb 15, 2019 Sword of the Viking. The Vikings. Big Combat Sword. 92cm. SWORD VIKING ORIGINAL",$405.00,"Bad Schwalbach, Germany",https://www.ebay.com/itm/Sword-of-the-Viking-The-Vikings-Big-Combat-Sword-92cm-SWORD-VIKING-ORIGINAL/401701532836?hash=item5d8746f4a4%3Ag%3Aj2oAAOSwvwRcKA5s&LH_Auction=1
"Sold  Feb 15, 2019 Sword of the Viking. The Vikings. Big Combat Sword. 94 cm. SWORD VIKING ORIGINAL",$910.00,"Bad Schwalbach, Germany",https://www.ebay.com/itm/Sword-of-the-Viking-The-Vikings-Big-Combat-Sword-94-cm-SWORD-VIKING-ORIGINAL/401701531425?hash=item5d8746ef21%3Ag%3ARGgAAOSwHSdcLqUr&LH_Auction=1
"Sold  Feb 15, 2019 Arrowheads The Khazars 5th century. Different types of arrows and other accessor",$105.76,"Camp Point, Illinois, Ukraine",https://www.ebay.com/itm/Arrowheads-The-Khazars-5th-century-Different-types-of-arrows-and-other-accessor/401701526890?hash=item5d8746dd6a%3Ag%3AYqcAAOSws6dcPKKN&LH_Auction=1
"Sold  Feb 15, 2019 Scythian bronze helmet. Scythians. Bronze. 7th century AD.",$898.88,"Bad Schwalbach, Germany",https://www.ebay.com/itm/Scythian-bronze-helmet-Scythians-Bronze-7th-century-AD/401701528586?hash=item5d8746e40a%3Ag%3A9c8AAOSwyY9cO77W&LH_Auction=1
"Sold  Feb 15, 2019 Scythian ritual sword / saber. Ritual sword murder.",$224.50,"london, Lithuania",https://www.ebay.com/itm/Scythian-ritual-sword-saber-Ritual-sword-murder/273693520576?hash=item3fb967b2c0%3Ag%3AANcAAOSwVRBb-Bni&LH_Auction=1
"Sold  Feb 15, 2019 Scythian Sword- akinak. Scythians. 77 cm. Excellent condition. ORIGINAL!!!",$597.00,"Bad Schwalbach, Germany",https://www.ebay.com/itm/Scythian-Sword-akinak-Scythians-77-cm-Excellent-condition-ORIGINAL/401701532106?hash=item5d8746f1ca%3Ag%3AgDwAAOSwhhlcKBSX&LH_Auction=1
"Sold  Feb 15, 2019 Sword of the Viking. The Vikings. Big Battle/Combat sword.",$810.00,"Bad Schwalbach, Germany",https://www.ebay.com/itm/Sword-of-the-Viking-The-Vikings-Big-Battle-Combat-sword/273693516549?hash=item3fb967a305%3Ag%3ACHAAAOSwn6JbyfQA&LH_Auction=1
"Sold  Feb 15, 2019 Saber / Sword of Khazar Khaganate (about 8 - 9 centuries) ORIGINAL! Length 80 cm",$124.60,"Bad Schwalbach, Germany",https://www.ebay.com/itm/Saber-Sword-of-Khazar-Khaganate-about-8-9-centuries-ORIGINAL-Length-80-cm/273693515720?hash=item3fb9679fc8%3Ag%3A2y0AAOSwx-lcG7%7EI&LH_Auction=1
