Date,Object,Price,Location,Category,Object Type,Link
2018-12-08 00:00:00,"Sold  Dec 8, 2018 CELTIC BILLON WEDDING BAND ** AMAZING RING **",0.99,,Celt,?,
2019-01-11 00:00:00,"Sold  Jan 11, 2019 Ancient Viking Bronze Ring with Duck Very Rare Green Patina",12.5,Russia,Viking,?,https://www.ebay.com/itm/Ancient-Viking-Bronze-Ring-with-Duck-Very-Rare-Green-Patina/183615163685?hash=item2ac0510d25%3Ag%3AIZsAAOSwI01cK0f8&LH_Auction=1
2018-11-18 00:00:00,"Sold  Nov 18, 2018 ** CHI-RHO ** Ancient Silver Legionary Roman Ring **AMAZING **",182.5,Greece,Roman,?,https://www.ebay.com/itm/CHI-RHO-Ancient-Silver-Legionary-Roman-Ring-AMAZING/302954759525?hash=item468982c565%3Ag%3AwQYAAOSwz05b6L5r&LH_Auction=1
2018-12-23 00:00:00,"Sold  Dec 23, 2018 Roman seal ring with engraved emeror on ship",3.0,Slovakia,Roman,?,https://www.ebay.com/itm/Roman-seal-ring-with-engraved-emeror-on-ship/292872491150?hash=item44308f908e%3Ag%3Aa2AAAOSwT2hcFiwl&LH_Auction=1
2018-11-11 00:00:00,"Sold  Nov 11, 2018 A270. Roman style bronze brooch. Boar",12.99,United Kingdom,Roman,?,https://www.ebay.com/itm/A270-Roman-style-bronze-brooch-Boar/332867097665?hash=item4d806cd441%3Ag%3A-1cAAOSwAwVbulLu&LH_Auction=1
2018-12-09 00:00:00,"Sold  Dec 9, 2018 Roman silver Ancient Ring",26.0,,Roman,?,
2018-12-27 00:00:00,"Sold  Dec 27, 2018 Silver fibula, Vikings, 9-10th century, Ukraine, no. 2",61.0,Czech Republic,Viking,?,https://www.ebay.com/itm/Silver-fibula-Vikings-9-10th-century-Ukraine-no-2/123555737816?hash=item1cc47ef0d8%3Ag%3ArgIAAOSwM6FcHA-Y&LH_Auction=1
2018-11-06 00:00:00,"Sold  Nov 6, 2018 Collection Of Roman And Egyptian Artifacts Scarabs, Brooches, Beads And More",75.0,United States,Egyptian,?,https://www.ebay.com/itm/Collection-Of-Roman-And-Egyptian-Artifacts-Scarabs-Brooches-Beads-And-More/352507932608?hash=item52131c2fc0%3Ag%3Aqp4AAOSwd2Zb4Hns&LH_Auction=1
2019-01-07 00:00:00,"Sold  Jan 7, 2019 INTACT BACTRIA AGED STONE BEAD SEAL CIRCA 100 BC DEPICTING PEGASUS",40.14,Cyprus,Central asia,?,https://www.ebay.com/itm/INTACT-BACTRIA-AGED-STONE-BEAD-SEAL-CIRCA-100-BC-DEPICTING-PEGASUS/392204644386?hash=item5b5137f022%3Ag%3AykAAAOSwXc9cKh2%7E&LH_Auction=1
2018-10-26 00:00:00,"Sold  Oct 26, 2018 RARE HUGE LAPIS LAZULI NEAR EASTERN BEAD SEAL 300 BC (2)",14.84,United Kingdom,Near east,?,https://www.ebay.com/itm/RARE-HUGE-LAPIS-LAZULI-NEAR-EASTERN-BEAD-SEAL-300-BC-2/332846031154?hash=item4d7f2b6132%3Ag%3AW34AAOSwEGpbyelR&LH_Auction=1
2019-01-10 00:00:00,"Sold  Jan 10, 2019 Very Rare Roman Bronze OpenWork Application depicting Dog chasing a Hare",70.0,United Kingdom,Roman,?,https://www.ebay.com/itm/Very-Rare-Roman-Bronze-OpenWork-Application-depicting-Dog-chasing-a-Hare/223309908201?hash=item33fe4ec8e9%3Ag%3ADtUAAOSwBMpcFpL2&LH_Auction=1
2018-11-11 00:00:00,"Sold  Nov 11, 2018 A232..Byzantine style silver cross.Christ",26.0,Bulgaria,Byzantine,?,https://www.ebay.com/itm/A232-Byzantine-style-silver-cross-Christ/332867066772?hash=item4d806c5b94%3Ag%3AKSEAAOSw8-lb3y1%7E&LH_Auction=1
2018-12-02 00:00:00,"Sold  Dec 2, 2018 Byzantine Bronze Intaglio Ring",19.49,,Byzantine,?,
2018-12-10 00:00:00,"Sold  Dec 10, 2018 CARVED EGYPTIAN ?  PORTRAIT IN  STONE",29.68,,Egyptian,?,
2018-12-15 00:00:00,"Sold  Dec 15, 2018 10 Ancient Neolithic Flint Arrowheads, Stone Age, VERY RARE !!  TOP !!",8.55,Germany,Pre-historic,?,https://www.ebay.com/itm/10-Ancient-Neolithic-Flint-Arrowheads-Stone-Age-VERY-RARE-TOP/143046823747?hash=item214e414f43%3Ag%3A7%7EMAAOSwnhlcDnfS&LH_Auction=1
2018-11-11 00:00:00,"Sold  Nov 11, 2018 50 Ancient Roman Glass, Clay Beads Romans VERY RARE!  TOP !!",18.5,Bulgaria,Roman,?,https://www.ebay.com/itm/50-Ancient-Roman-Glass-Clay-Beads-Romans-VERY-RARE-TOP/153249156245?hash=item23ae5c8c95%3Ag%3AKLAAAOSw8cFb4cJ2&LH_Auction=1
2018-11-29 00:00:00,"Sold  Nov 29, 2018 8 Ancient Neolithic Agate Beads, Stone Age, VERY RARE !!",2.25,Germany,Pre-historic,?,https://www.ebay.com/itm/8-Ancient-Neolithic-Agate-Beads-Stone-Age-VERY-RARE/143026270477?hash=item214d07b10d%3Ag%3AsVwAAOSwE%7EZb-XmW&LH_Auction=1
2018-11-29 00:00:00,"Sold  Nov 29, 2018 ** OUTSTANDING ** Ancient ROMAN Silver ring  - RED GEM  ** HEAD ** RRR",71.0,Greece,Roman,?,https://www.ebay.com/itm/OUTSTANDING-Ancient-ROMAN-Silver-ring-RED-GEM-HEAD-RRR/352519388401?hash=item5213cafcf1%3Ag%3AqrQAAOSworNb8dWs&LH_Auction=1
2019-01-15 00:00:00,"Sold  Jan 15, 2019 Ancient Viking bronze very fat bracelet. REALLY RARE TYPE",40.0,Russia,Viking,?,https://www.ebay.com/itm/Ancient-Viking-bronze-very-fat-bracelet-REALLY-RARE-TYPE/183621571988?hash=item2ac0b2d594%3Ag%3AGocAAOSwdGZcMHWS&LH_Auction=1
2018-12-02 00:00:00,"Sold  Dec 2, 2018 ROMAN BRONZE WEDDING BAND",0.99,Serbia,Roman,?,https://www.ebay.com/itm/ROMAN-BRONZE-WEDDING-BAND/323568388088?hash=item4b562dc7f8%3Ag%3A-HgAAOSwBPRb-uGA&LH_Auction=1
2018-12-25 00:00:00,"Sold  Dec 25, 2018 RARE LARGE GENUINE ROMAN BRONZE ARCHERS RING - wearable",32.27,United Kingdom,Roman,?,https://www.ebay.com/itm/RARE-LARGE-GENUINE-ROMAN-BRONZE-ARCHERS-RING-wearable/401665100390?hash=item5d851b0a66%3Ag%3Ace0AAOSwYUZcG7Hd&LH_Auction=1
2019-01-17 00:00:00,"Sold  Jan 17, 2019 Roman Byzantine Decorated Terracotta Oil Lamp, Ca. 7th-9th Century AD ?",18.71,United Kingdom,Byzantine,?,https://www.ebay.com/itm/Roman-Byzantine-Decorated-Terracotta-Oil-Lamp-Ca-7th-9th-Century-AD/283331089276?hash=item41f7d9537c%3Ag%3AiHAAAOSwzhFcM5uS&LH_Auction=1
2018-12-01 00:00:00,"Sold  Dec 1, 2018 LOVELY rare ancient solid ring bronze VIKING legionary artifact antique amazing",0.99,Morocco,Viking,?,https://www.ebay.com/itm/LOVELY-rare-ancient-solid-ring-bronze-VIKING-legionary-artifact-antique-amazing/292834990087?hash=item442e535807%3Ag%3AIrkAAOSwVH9b9T5F&LH_Auction=1
2018-12-29 00:00:00,"Sold  Dec 29, 2018 VERY RARE ANCIENT NEAR EASTERN SEAL 300 BC (7)",14.84,United Kingdom,Near east,?,https://www.ebay.com/itm/VERY-RARE-ANCIENT-NEAR-EASTERN-SEAL-300-BC-7/312394576567?hash=item48bc2af2b7%3Ag%3A6lEAAOSwQhBcHmYU&LH_Auction=1
2018-11-12 00:00:00,"Sold  Nov 12, 2018 Lapis lazuli Emperor Face intaglio Stone Old Roman Ring   # 5z",14.5,Thailand,Roman,?,https://www.ebay.com/itm/Lapis-lazuli-Emperor-Face-intaglio-Stone-Old-Roman-Ring-5z/273548764485?hash=item3fb0c6e545%3Ag%3AlqEAAOSwZ1hb4yee&LH_Auction=1
2018-11-02 00:00:00,"Sold  Nov 2, 2018 ancient Viking Large bell ""Sea shell"" REALLY ancient",7.5,Russia,Viking,?,https://www.ebay.com/itm/ancient-Viking-Large-bell-Sea-shell-REALLY-ancient/183499439937?hash=item2ab96b3f41%3Ag%3AxpcAAOSwI-dbzx4j&LH_Auction=1
2018-12-30 00:00:00,"Sold  Dec 30, 2018 5600Y.O:GREAT AX 133mms DANISH STONE AGE NEOLITHIC RECYCLED FLINT MEGALITH TOMB",65.0,,Pre-historic,?,
2018-12-27 00:00:00,"Sold  Dec 27, 2018 rare ancient solid ring roman silver stunning artifact rare type with stone",0.99,Morocco,Roman,?,https://www.ebay.com/itm/rare-ancient-solid-ring-roman-silver-stunning-artifact-rare-type-with-stone/254037872384?hash=item3b25d64f00%3Ag%3ADS8AAOSwBfhcICfM&LH_Auction=1
2019-01-16 00:00:00,"Sold  Jan 16, 2019 Old phoenician wonderous  old gigantic glass bead",15.0,United Kingdom,Near east,?,https://www.ebay.com/itm/Old-phoenician-wonderous-old-gigantic-glass-bead/143087477002?hash=item2150ada10a%3Ag%3Ah2EAAOSwgotcOMFX&LH_Auction=1
