Date,Object,Price,Location,Category,Object Type,Material,Link
2018-12-19 00:00:00,"Sold  Dec 19, 2018 Superb Roman bronze coin with desirable patina",17.88,United Kingdom,Roman,coin,metal ,https://www.ebay.com/itm/Superb-Roman-bronze-coin-with-desirable-patina/312369438871?hash=item48baab6097%3Ag%3AoN0AAOSwzgtcEOrG&LH_Auction=1
2019-01-28 00:00:00,"Sold  Jan 28, 2019 Ancient Viking Norse SILVER Hammer Thor's axe Amulet Pendant Museum Quality",51.0,,Viking,weapon jewellery tool ,metal ,
2019-01-11 00:00:00,"Sold  Jan 11, 2019 Ancient Viking Bronze Ring with Duck Very Rare Green Patina",12.5,Russia,Viking,jewellery ,metal ,https://www.ebay.com/itm/Ancient-Viking-Bronze-Ring-with-Duck-Very-Rare-Green-Patina/183615163685?hash=item2ac0510d25%3Ag%3AIZsAAOSwI01cK0f8&LH_Auction=1
2018-12-30 00:00:00,"Sold  Dec 30, 2018 INTACT ANCIENT GREEK LATE BRONZE AGE BRONZE BRACELET CIRCA 1500-1000 BC",21.19,Cyprus,Bronze age,jewellery ,metal ,https://www.ebay.com/itm/INTACT-ANCIENT-GREEK-LATE-BRONZE-AGE-BRONZE-BRACELET-CIRCA-1500-1000-BC/392198730123?hash=item5b50ddb18b%3Ag%3AW5MAAOSwLgpcHk-c&LH_Auction=1
2019-02-01 00:00:00,"Sold  Feb 1, 2019 Ancient Egyptian Rare Antique Canopic Jars Sons Of Horus In Box Carved Stone BC",203.0,Egypt,Egyptian,vessel household ,stone ,https://www.ebay.com/itm/Ancient-Egyptian-Rare-Antique-Canopic-Jars-Sons-Of-Horus-In-Box-Carved-Stone-BC/132932596919?hash=item1ef36674b7%3Ag%3A230AAOSwWk5cJY1H&LH_Auction=1
2018-12-29 00:00:00,"Sold  Dec 29, 2018 VERY RARE ANCIENT EGYPTIAN CANOPIC JAR LATE PERIOD 664 - 332 BC",188.06,United Kingdom,Egyptian,vessel ,,https://www.ebay.com/itm/VERY-RARE-ANCIENT-EGYPTIAN-CANOPIC-JAR-LATE-PERIOD-664-332-BC/312394621120?hash=item48bc2ba0c0%3Ag%3AiP4AAOSwAzxcHnZ%7E&LH_Auction=1
2019-01-27 00:00:00,"Sold  Jan 27, 2019 LOT OF 4 ROMAN COINS - UNKNOWN UNIDENTIFIED - RARE ? #42",3.05,United States,Roman,coin,,https://www.ebay.com/itm/LOT-OF-4-ROMAN-COINS-UNKNOWN-UNIDENTIFIED-RARE-42/153345377758?hash=item23b418c5de%3Ag%3A3sMAAOSwr7ZcQzbe&LH_Auction=1
2018-12-23 00:00:00,"Sold  Dec 23, 2018 Roman seal ring with engraved emeror on ship",3.0,Slovakia,Roman,jewellery ,,https://www.ebay.com/itm/Roman-seal-ring-with-engraved-emeror-on-ship/292872491150?hash=item44308f908e%3Ag%3Aa2AAAOSwT2hcFiwl&LH_Auction=1
2019-02-20 00:00:00,"Sold  Feb 20, 2019 RARE NEAR EASTERN INDUS VALLEY TERRACOTTA MOTHER GODDESS IDOL STATUE CIRCA 500BC",37.31,Cyprus,Near east,statue,terracotta ,https://www.ebay.com/itm/RARE-NEAR-EASTERN-INDUS-VALLEY-TERRACOTTA-MOTHER-GODDESS-IDOL-STATUE-CIRCA-500BC/202596191004?hash=item2f2bac8b1c%3Ag%3A33sAAOSw89NcZC69&LH_Auction=1
2018-12-25 00:00:00,"Sold  Dec 25, 2018 Roman Knife 184 Rare",0.99,Norway,Roman,weapon tool ,,https://www.ebay.com/itm/Roman-Knife-184-Rare/233058619034?hash=item3643604e9a%3Ag%3A42oAAOSwnfRb3zY7&LH_Auction=1
2019-02-03 00:00:00,"Sold  Feb 3, 2019 Ancient Roman Bronze Ring Original Authentic Antique Rare R584",1.0,Ukraine,Roman,jewellery ,metal ,https://www.ebay.com/itm/Ancient-Roman-Bronze-Ring-Original-Authentic-Antique-Rare-R584/143106143672?hash=item2151ca75b8%3Ag%3AUb0AAOSwBPRcI6D4&LH_Auction=1
2019-02-23 00:00:00,"Sold  Feb 23, 2019 VERY RARE ANCIENT ROMAN PERIOD FISH HOOK PENDANT 2nd-3rd Cent AD (2)",5.05,United States,Roman,jewellery tool ,,https://www.ebay.com/itm/VERY-RARE-ANCIENT-ROMAN-PERIOD-FISH-HOOK-PENDANT-2nd-3rd-Cent-AD-2/312482939058?hash=item48c16f40b2%3Ag%3A9zQAAOSwxXZcatI0&LH_Auction=1
2019-03-02 00:00:00,"Sold  Mar 2, 2019 "" PHALLUS "" fertility AMULET ancient BRONZE Roman ring !",10.5,Serbia,Roman,jewellery ,metal ,https://www.ebay.com/itm/PHALLUS-fertility-AMULET-ancient-BRONZE-Roman-ring/153392479698?hash=item23b6e77dd2%3Ag%3AotYAAOSwF5VcKSm6&LH_Auction=1
2018-12-29 00:00:00,"Sold  Dec 29, 2018 Ultra Rare Huge Stone Age Ancient Neolithic Anthromorphic Vinca Idol 4500BC (2)",99.33,United Kingdom,Pre-historic,tool statue ,stone ,https://www.ebay.com/itm/Ultra-Rare-Huge-Stone-Age-Ancient-Neolithic-Anthromorphic-Vinca-Idol-4500BC-2/312394634667?hash=item48bc2bd5ab%3Ag%3AF7sAAOSw19dcHnod&LH_Auction=1
2018-12-27 00:00:00,"Sold  Dec 27, 2018 Silver fibula, Vikings, 9-10th century, Ukraine, no. 2",61.0,Czech Republic,Viking,clothing ,metal ,https://www.ebay.com/itm/Silver-fibula-Vikings-9-10th-century-Ukraine-no-2/123555737816?hash=item1cc47ef0d8%3Ag%3ArgIAAOSwM6FcHA-Y&LH_Auction=1
2019-01-20 00:00:00,"Sold  Jan 20, 2019 Ancient Interesting Roman Bronze Key 1st-4th AD",21.19,United Kingdom,Roman,household ,metal ,https://www.ebay.com/itm/Ancient-Interesting-Roman-Bronze-Key-1st-4th-AD/292917982764?hash=item443345b62c%3Ag%3A41UAAOSwDYdcO45L&LH_Auction=1
2019-01-07 00:00:00,"Sold  Jan 7, 2019 INTACT BACTRIA AGED STONE BEAD SEAL CIRCA 100 BC DEPICTING PEGASUS",41.19,Cyprus,Central asia,jewellery ,stone metal ,https://www.ebay.com/itm/INTACT-BACTRIA-AGED-STONE-BEAD-SEAL-CIRCA-100-BC-DEPICTING-PEGASUS/392204644386?hash=item5b5137f022%3Ag%3AykAAAOSwXc9cKh2%7E&LH_Auction=1
2019-02-11 00:00:00,"Sold  Feb 11, 2019 Amazing Nefertari Egyptian Goddess Figurine Ancient antique Unique Head statue",24.5,Egypt,Egyptian,statue,,https://www.ebay.com/itm/Amazing-Nefertari-Egyptian-Goddess-Figurine-Ancient-antique-Unique-Head-statue/192811633494?hash=item2ce4780b56%3Ag%3A0rgAAOSwzFhcU20v&LH_Auction=1
2019-01-12 00:00:00,"Sold  Jan 12, 2019 BEAUTIFUL ANCIENT EGYPTIAN BLUE AMULET 300 BC (10)",18.92,United Kingdom,Egyptian,jewellery ,,https://www.ebay.com/itm/BEAUTIFUL-ANCIENT-EGYPTIAN-BLUE-AMULET-300-BC-10/312418624303?hash=item48bd99e32f%3Ag%3A3E8AAOSw8R9cM227&LH_Auction=1
2019-01-27 00:00:00,"Sold  Jan 27, 2019 SCARCE-INTACT LATE ROMAN BRONZE VOTIVE STICK WITH A BIRD ON THE TOP CIRCA 400-45",67.7,Cyprus,Roman,religious ,metal ,https://www.ebay.com/itm/SCARCE-INTACT-LATE-ROMAN-BRONZE-VOTIVE-STICK-WITH-A-BIRD-ON-THE-TOP-CIRCA-400-45/202571622711?hash=item2f2a35a937%3Ag%3AvGwAAOSwH61cRLSC&LH_Auction=1
2019-01-10 00:00:00,"Sold  Jan 10, 2019 Very Rare Roman Bronze OpenWork Application depicting Dog chasing a Hare",70.0,Austria,Roman,?,metal ,https://www.ebay.com/itm/Very-Rare-Roman-Bronze-OpenWork-Application-depicting-Dog-chasing-a-Hare/223309908201?hash=item33fe4ec8e9%3Ag%3ADtUAAOSwBMpcFpL2&LH_Auction=1
2019-01-17 00:00:00,"Sold  Jan 17, 2019 Large Rare Ancient Egyptian Faience Shabti  (945-715 BC.)",64.89,United Kingdom,Egyptian,statue ,glass ,https://www.ebay.com/itm/Large-Rare-Ancient-Egyptian-Faience-Shabti-945-715-BC/173733698547?hash=item287355dbf3%3Ag%3AeOsAAOSwFlJcN6QM&LH_Auction=1
2018-12-23 00:00:00,"Sold  Dec 23, 2018 DETECTOR FINDS ANCIENT ROMAN CHARIOT FITTING FRAGMENT PANTHER HEAD",16.55,United Kingdom,Roman,weapon ,metal ,https://www.ebay.com/itm/DETECTOR-FINDS-ANCIENT-ROMAN-CHARIOT-FITTING-FRAGMENT-PANTHER-HEAD/153306276333?hash=item23b1c421ed%3Ag%3Ata4AAOSwx-lcFrMK&LH_Auction=1
2018-12-18 00:00:00,"Sold  Dec 18, 2018 Roman Bronze Brooch #11",20.0,United States,Roman,clothing ,metal ,https://www.ebay.com/itm/Roman-Bronze-Brooch-11/352542256956?hash=item521527ef3c%3Ag%3ApjcAAOSwESRb6aIl&LH_Auction=1
2019-02-11 00:00:00,"Sold  Feb 11, 2019 Rare ancient Near Eastern stone cylinder seal bead pendant, 300 bc",9.93,United Kingdom,Near east,jewellery ,stone ,https://www.ebay.com/itm/Rare-ancient-Near-Eastern-stone-cylinder-seal-bead-pendant-300-bc/264183197407?hash=item3d828baedf%3Ag%3AaNkAAOSw7D1cWuI5&LH_Auction=1
2019-01-15 00:00:00,"Sold  Jan 15, 2019 Rare ancient solid silver Roman dice , 1st to 3rd Century ad",34.43,United Kingdom,Roman,household ,metal ,https://www.ebay.com/itm/Rare-ancient-solid-silver-Roman-dice-1st-to-3rd-Century-ad/264128810109?hash=item3d7f4dcc7d%3Ag%3AYjsAAOSwUVFcN261&LH_Auction=1
2018-12-18 00:00:00,"Sold  Dec 18, 2018 Roman Bronze Brooch #14",20.0,Cyprus,Roman,clothing ,metal ,https://www.ebay.com/itm/Roman-Bronze-Brooch-14/352542260944?hash=item521527fed0%3Ag%3ArncAAOSwVXRb6aKI&LH_Auction=1
