Object,Price,Figure
"Sold  Jan 13, 2019 Rare ancient Roman Glass Bead Necklace , 2nd to 4th Century ad",$21.54,115.jpg
"Sold  Jan 13, 2019 Rare ancient Near Eastern carnealian bead cylinder seal , 300 bcos",$9.62,
"Sold  Jan 13, 2019 Rare ancient Terracotta fertility idol Indus Valley , 2000 bc .",$37.19,
"Sold  Jan 13, 2019 Rare ancient bronze Near Eastern Seal pendant , 300 bc",$11.80,
"Sold  Jan 13, 2019 Rare ancient glass Phoenician bead seal , 300 bc",$12.94,
"Sold  Jan 13, 2019 100% genuine Metal Detector Finds Joblot roman, medieval, neolithic, georgian",$7.05,
"Sold  Jan 13, 2019 Here is a rare ancient Near Eastern carnealian seal bead , 300 bc l",$12.51,
"Sold  Jan 13, 2019 Wonderful Art Roman Empire King natural Turquoise Beautiful Stone #",$20.00,164.jpg
"Sold  Jan 13, 2019 Original Ancient Roman Oil Lamp 'Firmalampen' - STROBLLI factory lamp - English",$200.03,30.jpg
"Sold  Jan 13, 2019 Authentic Clay Pre Columbian Toltec Head Aztec Mayan Olmec Mexican Xipe Totec",$105.50,12.jpg
"Sold  Jan 13, 2019 Rare ancient Egyptian blue cat amulet , 300 bc",$32.06,44.jpg
"Sold  Jan 13, 2019 Rare ancient glass Near Eastern pendant seal , 300 bc",$17.30,88.jpg
"Sold  Jan 13, 2019 Antique Egyptian  Glazed  Galss Stone burial Figure of Anubis",$30.77,32.jpg
"Sold  Jan 13, 2019 Nice Greek Ring",$6.65,35.jpg
"Sold  Jan 13, 2019 Bronze Roman Brooch",$6.40,45.jpg
"Sold  Jan 13, 2019 Super Bronze Age Spearhead",$65.39,161.jpg
"Sold  Jan 13, 2019 Good Bronze Age Spearhead",$74.37,124.jpg
"Sold  Jan 13, 2019 Medieval Iron Arrowhead",$7.33,54.jpg
"Sold  Jan 13, 2019 Sassanian Intaglio",$10.90,134.jpg
"Sold  Jan 13, 2019 15th C Crossbow Bolt",$6.65,47.jpg
"Sold  Jan 13, 2019 Antique Egyptian Figure Statue Faience glazed stone",$28.21,10.jpg
"Sold  Jan 13, 2019 Roman Votive lead pot 100% genuine metal detector finds",$26.93,8.jpg
"Sold  Jan 13, 2019 A Stunning Ladies Silver - Toned Ring Beach 'Find' Size N.",$4.49,135.jpg
"Sold  Jan 13, 2019 Very Rare Ancient Roman Glass Drinking Beaker - Pale Green 3rd Century AD Roman",$100.73,166.jpg
"Sold  Jan 13, 2019 Eyes Only Finds, Made Whilst Metal Detecting",$7.05,87.jpg
"Sold  Jan 13, 2019 metal detecting finds, job lot, uncleaned",$66.68,112.jpg
"Sold  Jan 13, 2019  axe Celtic",$55.14,50.jpg
"Sold  Jan 13, 2019 metal detecting finds uncleaned coins",$29.49,151.jpg
"Sold  Jan 13, 2019 Black Banded Yemani Agate Wonderful Old Ancient Stone   # 6h",$15.00,110.jpg
"Sold  Jan 13, 2019 SHARP CELTIC BRONZE SHORT SPEAR HEAD CIRCA 500-100 BC-AD 37grams",$59.65,24.jpg
"Sold  Jan 13, 2019 Rare ancient Egyptian faience shabti with hieroglyphics c 6th to 4th Century bc",$43.60,144.jpg
"Sold  Jan 13, 2019 ANCIENT BRONZE KEY RING ROMAN 100-300 AD 28grams",$46.16,152.jpg
"Sold  Jan 13, 2019 roman bronze fibula 16grams",$13.46,81.jpg
"Sold  Jan 13, 2019 Rare ancient glass Phoenician bead collection. 300 bc",$12.18,155.jpg
"Sold  Jan 13, 2019 bronze age axe head 39grams",$36.04,51.jpg
"Sold  Jan 13, 2019 Rare ancient Roman Glass Bead Necklace , 2nd to 4th Century ad",$24.36,115.jpg
"Sold  Jan 13, 2019 bronze axe head 68grams",$56.42,13.jpg
"Sold  Jan 13, 2019 Rare ancient glass Phoenician face pendant.  300 bc",$26.93,23.jpg
"Sold  Jan 13, 2019 Rare ancient bronze Near Eastern seal pendant , 300 bc",$7.05,64.jpg
"Sold  Jan 13, 2019 Rare ancient Near Eastern stone bead seal , 300 bc",$6.28,11.jpg
"Sold  Jan 13, 2019 Here is a very rare ancient pottery Egyptian faience bird amulet , c 715-332 bc",$28.21,107.jpg
"Sold  Jan 13, 2019 Rare ancient glass Phoenician Bead  , 300 bc",$2.82,125.jpg
"Sold  Jan 13, 2019 Rare ancient carnealian ear eastern bead seal . 300 bc",$12.18,82.jpg
"Sold  Jan 13, 2019 Rare Stunning Ancient Silver Viking Twisted Ring C 8th / 11th.cent AD.",$11.50,14.jpg
"Sold  Jan 13, 2019 Ancient Ultra Rare Silver Viking Odin Mythology Amulet  C 8th / 11th.cent AD.",$41.00,42.jpg
"Sold  Jan 13, 2019 vintage Egyptian carved Bastet Cat",$21.80,59.jpg
"Sold  Jan 13, 2019 Antique Egyptian Large Stone carved Scarab",$28.21,123.jpg
"Sold  Jan 13, 2019 Rare ancient ghandarian bronze head , c1200/1500 bc",$70.52,58.jpg
"Sold  Jan 13, 2019 Rare ancient bronze coin weight Near Eastern , luristian , 300 bc",$16.03,84.jpg
"Sold  Jan 13, 2019 Rare ancient glass Phoenician bottle pendant, 300 bc",$18.59,117.jpg
"Sold  Jan 13, 2019 Rare ancient glass Phoenician bottle pendant, 300 bc",$18.59,117.jpg
"Sold  Jan 13, 2019 Rare ancient Egyptian painted blue bird amulet , c 664-332 bc .",$21.80,
"Sold  Jan 13, 2019 Rare ancient glass Near Eastern Bead Seal , 300 bc",$8.54,
"Sold  Jan 13, 2019 Rare ancient glass Phoenician fish pendant , 300 bc",$21.73,
"Sold  Jan 13, 2019 Rare ancient Near Eastern stone bead seal , 300 bc",$9.62,11.jpg
"Sold  Jan 13, 2019 Ancient Islamic terra-cotta oil lamp with  rich floral decoration",$31.00,
"Sold  Jan 13, 2019 Rare ancient Roman bronze legionnaires large peace of Cutlery , 2nd to 4th Centu",$429.55,
"Sold  Jan 13, 2019 Rare ancient Near Eastern large bead seal , 300 bc",$12.18,106.jpg
"Sold  Jan 13, 2019 Rare ancient glass Phoenician face pendant , 300 bc .",$30.77,73.jpg
"Sold  Jan 13, 2019 Rare Large Ancient Egyptian Winged Scarab Beetle.with Hieroglyphics 664/332BC",$87.19,129.jpg
"Sold  Jan 13, 2019 Paleolithic - Flint Pendant - circa 500,000 to 8,500 B.C.- Found Kent 1945",$30.77,96.jpg
"Sold  Jan 13, 2019 Rare ancient Phoenician glass bottle pendant , 300 bc .igh",$17.95,156.jpg
"Sold  Jan 13, 2019 Rare ancient Terracotta Indus Valley fertility idol , 3300-2000 bc .",$125.25,37.jpg
"Sold  Jan 13, 2019 Rare post Medieval Silver Ring With Pharos head engraved on it . 18th to 19th c",$4.12,28.jpg
"Sold  Jan 13, 2019 Rare ancient bronze luristian horse statue , c1200 bc .",$66.68,137.jpg
"Sold  Jan 13, 2019 Rare ancient Near Eastern carnealian Bead Seal , 300 bc",$12.18,15.jpg
"Sold  Jan 13, 2019 Rare ancient Roman Glass Bead Necklace ( re strung ) , 1st to 3rd Century ad .",$24.36,78.jpg
"Sold  Jan 13, 2019 Victorian Bronze Medal 1851 Exhibition",$64.11,98.jpg
"Sold  Jan 13, 2019 Rare ancient Indus Valley Terracotta bowl , 3300-2000 bc",$26.93,157.jpg
"Sold  Jan 13, 2019 Rare ancient Near Eastern stone bead seal , 300 bc .",$4.10,114.jpg
"Sold  Jan 13, 2019 Rare ancient silver Roman double band ring , 2nd to 4th Century ad .",$13.03,153.jpg
"Sold  Jan 13, 2019 Rare ancient phoenician glass fertility idol , 300 bc.",$43.98,89.jpg
"Sold  Jan 13, 2019 OLD METAL BUTTON",$1.92,127.jpg
"Sold  Jan 13, 2019 Rare ancient Near Eastern stone seal , 300 bc",$18.59,60.jpg
"Sold  Jan 13, 2019 22 Grand Tour Cameos Intaglios Gems Medallions plaster Seals European Coins",$30.00,99.jpg
"Sold  Jan 13, 2019 PERFECT RARE MOUSTERIAN OR NEANDERTAL FLINT CLEAVER FROM FRANCE",$50.01,116.jpg
"Sold  Jan 13, 2019 ROMAN FLUE-TILE FRAGMENTS (BRITISH)",$2.82,71.jpg
"Sold  Jan 13, 2019  EARLY  17TH CENTURY CLAY PIPE  BOWL CIRCA 1620",$3.46,131.jpg
