Date,Object,Price,Location,Category,Object Type,Material,Link
2019-03-02 00:00:00,"Sold Mar 2 , 2019 ROMAN INDUS VALLEY TERRACOTTA POT , RARE ANCIENT ARTIFACT ( 1 ) ",161.57,United Kingdom,roman | india | ,vessel | ,terracotta | ,https://www.ebay.com/itm/ROMAN-INDUS-VALLEY-TERRACOTTA-POT-RARE-ANCIENT-ARTIFACT-1/312502039915?hash=item48c292b56b%3Ag%3A36wAAOSwxXZcdDgT&LH_Auction=1
2019-04-09 00:00:00,"Sold Apr 9 , 2019 DETECTOR FINDS ANCIENT ROMAN PENDANT COSMETIC EQUIPMENT TWEEZERS ETC ",47.23,0,roman | ,jewellery | vessel | ,?,"Didcot, United Kingdom"
2018-12-21 00:00:00,"Sold Dec 21 , 2018 Franklin Mint , The Fighting Men of the American Revolution New York Officer ",14,United States,america | ,?,?,https://www.ebay.com/itm/Franklin-Mint-The-Fighting-Men-of-the-American-Revolution-New-York-Officer/332953565106?hash=item4d859437b2%3Ag%3APcwAAOSw8PJcAh9o&LH_Auction=1
2019-05-02 00:00:00,"Sold  May 2, 2019 VERY UNUSUAL ANCIENT ROMAN BRONZE TOKEN WITH GALLEY SHIP DEPICTION",36.29,0,roman | ,?,metal | ,"Didcot, United Kingdom"
2019-03-23 00:00:00,"Sold Mar 23 , 2019 ANCIENT VERY RARE ROMAN PERIOD DECORATED TOGA DRESS PIN and ord Cent AD ( 10 ) ",17.75,United Kingdom,roman | ,clothing | ,?,https://www.ebay.com/itm/ANCIENT-VERY-RARE-ROMAN-PERIOD-DECORATED-TOGA-DRESS-PIN-2nd-3rd-Cent-AD-10/312533846330?hash=item48c478093a%3Ag%3AdUIAAOSweqNcj9dT&LH_Auction=1
2019-02-21 00:00:00,"Sold Feb 21 , 2019 Rare Large Ancient Egyptian Scarab Middle Kingdom ( 2000 BCE ) ",42.38,United Kingdom,egyptian  | ,jewellery | tool | ,?,https://www.ebay.com/itm/Rare-Large-Ancient-Egyptian-Scarab-Middle-Kingdom-2000-BCE/173794365703?hash=item2876f39107%3Ag%3AL3wAAOSw6KxcSh5z&LH_Auction=1
2018-11-13 00:00:00,"Sold Nov 13 , 2018 Very Beautiful Persian aisha puri Lovely Turquoise Stone persian Turquoise # air ",26,United States,near east | ,?,stone | ,https://www.ebay.com/itm/Very-Beautiful-Persian-Nisha-puri-Lovely-Turquoise-Stone-Persain-Turquoise-Ai9/223216095516?hash=item33f8b7511c%3Ag%3AyfUAAOSwtxlb3dli&LH_Auction=1
2018-11-27 00:00:00,"Sold Nov 27 , 2018 RARE 17 with CENTURY X LARGE ORNATE ` OLD BELIEVERS d' ORTHODOX sun CROSS PENDANT ",41,Russia,?,religious | ,?,https://www.ebay.com/itm/RARE-17-18th-CENTURY-X-LARGE-ORNATE-OLD-BELIEVERS-ORTHODOX-SUN-CROSS-PENDANT/183540374317?hash=item2abbdbdb2d%3Ag%3AFVUAAOSwA29b79d8&LH_Auction=1
2018-12-02 00:00:00,"Sold Dec 2 , 2018 ROMAN FINGER RING ENGRAVED EAGLE THE SYMBOL OF THE ROMAN EMPIRE ",9.82,Bulgaria,roman | ,jewellery | ,?,https://www.ebay.com/itm/ROMAN-FINGER-RING-ENGRAVED-EAGLE-THE-SYMBOL-OF-THE-ROMAN-EMPIRE/253998550651?hash=item3b237e4e7b%3Ag%3AO4AAAOSw%7Eatb-t1U&LH_Auction=1
2019-03-03 00:00:00,"Sold Mar 3 , 2019 BEAUTIFUL ANCIENT EGYPTIAN GLAZED FAIENCE STATUETTE OF RA ",60.37,United Kingdom,egyptian  | ,statue | ,terracotta | ,https://www.ebay.com/itm/BEAUTIFUL-ANCIENT-EGYPTIAN-GLAZED-FAIENCE-STATUETTE-OF-RA/153393674382?hash=item23b6f9b88e%3Ag%3AZQYAAOSwV51cWET8&LH_Auction=1
2019-04-07 00:00:00,"Sold Apr 7 , 2019 Ancient Rare Mosaic Glass with 2 Faces lovely Pendant # 10 ",15.5,0,?,jewellery | household | ,glass | ,"Bangkok, Thailand"
2019-04-24 00:00:00,"Sold Apr 24 , 2019 RARE BEAUTIFUL ANCIENT EGYPTIAN LION AMULET 300 bbc . ( 4 ) ",53.79,0,egyptian  | ,religious | ,?,"Forest Row, East Sussex, United Kingdom"
2019-01-28 00:00:00,"Sold Jan 28 , 2019 Stunning Rare Unique Ancient Roman Silver ring Senatorial Legionary Face Emperor ",17,Bulgaria,roman | ,jewellery | ,metal | ,https://www.ebay.com/itm/Stunning-Rare-Unique-Ancient-Roman-Silver-ring-Senatorial-Legionary-Face-Emperor/173766443488?hash=item28754981e0%3Ag%3ATZoAAOSwiudcTyc%7E&LH_Auction=1
2019-04-30 00:00:00,"Sold Apr 30 , 2019 EXTREMELY RARE INTACT ANCIENT EGYPTIAN ALABASTER CARVED RITUAL BOWL ",47.23,0,egyptian  | ,religious | vessel | ,stone | ,"Didcot, United Kingdom"
2018-12-12 00:00:00,"Sold Dec 12 , 2018 Ancient Chinese Coin Brass 200 BC Token Medal Artifact Far East Authentic ",28.89,,china | ,coin | ,metal | ,
2018-12-16 00:00:00,"Sold Dec 16 , 2018 BEAUTIFUL ANCIENT EGYPTIAN GLAZED STATUETTE KNEELING PHARAOH ",34.43,United Kingdom,egyptian  | ,statue | ,terracotta | ,https://www.ebay.com/itm/BEAUTIFUL-ANCIENT-EGYPTIAN-GLAZED-STATUETTE-KNEELING-PHARAOH/153292517127?hash=item23b0f22f07%3Ag%3AM14AAOSwv0dcCPaZ&LH_Auction=1
2019-04-14 00:00:00,"Sold Apr 14 , 2019 EXTREMELY RARE Ancient ring VIKING BRONZE VERY Stunning museum quality artifact ",0.99,0,viking | ,jewellery | ,metal | ,"Morocco , Morocco"
2018-11-11 00:00:00,"Sold Nov 11 , 2018 RARE HUGE PHOENICIAN FACE PENDANT 30059 SUPER QUALITY ( 5 ) ",13.56,United Kingdom,near east | ,jewellery | ,?,https://www.ebay.com/itm/RARE-HUGE-PHOENICIAN-FACE-PENDANT-300BC-SUPER-QUALITY-5/312300479827?hash=item48b68f2553%3Ag%3AlxkAAOSwaepb4X%7EI&LH_Auction=1
2018-12-17 00:00:00,"Sold Dec 17 , 2018 AUTHENTIC VIKING ERA BRONZE LUNAR / MOON CRESCENT PENDANT -641 ",39.29,United Kingdom,viking | ,jewellery | ,metal | ,https://www.ebay.com/itm/AUTHENTIC-VIKING-ERA-BRONZE-LUNAR-MOON-CRESCENT-PENDANT-H641/254015895080?hash=item3b2486f628%3Ag%3AhicAAOSwOnJcClSP&LH_Auction=1
2019-01-19 00:00:00,"Sold Jan 19 , 2019 CIRCA 100 400 AD ERA ROMAN BRONZE EUROPEAN GODDESS MOUNT ",21.19,United Kingdom,roman | european | ,religious | tool | ,metal | ,https://www.ebay.com/itm/CIRCA-100-400-AD-ERA-ROMAN-BRONZE-EUROPEAN-GODDESS-MOUNT/254060192472?hash=item3b272ae2d8%3Ag%3Aub0AAOSwmE9cNfmu&LH_Auction=1
2019-02-10 00:00:00,"Sold Feb 10 , 2019 ANCIENT ROMAN Iron FIRE STARTER FIRE STRIKER LOT OF 2 ",13.99,Austria,roman | ,tool | ,metal | ,https://www.ebay.com/itm/ANCIENT-ROMAN-Iron-FIRE-STARTER-FIRE-STRIKER-LOT-OF-2/223364372623?hash=item34018dd88f%3Ag%3AZscAAOSweI1cVyxO&LH_Auction=1
2018-11-07 00:00:00,"Sold Nov 7 , 2018 AUTHENTIC ANCIENT ROMAN GLASS MEDICINE FLASK l99 ",56.79,United Kingdom,roman | ,vessel | ,glass | ,https://www.ebay.com/itm/AUTHENTIC-ANCIENT-ROMAN-GLASS-MEDICINE-FLASK-L499/253959112354?hash=item3b212486a2%3Ag%3AoiAAAOSwvupbv2Od&LH_Auction=1
2019-02-20 00:00:00,"Sold Feb 20 , 2019 VERY RARE INTACT ROMAN SILVER SEAL RING CIRCA 100 200 AD ",51.65,Cyprus,roman | ,jewellery | tool | ,metal | ,https://www.ebay.com/itm/VERY-RARE-INTACT-ROMAN-SILVER-SEAL-RING-CIRCA-100-200-AD/202596220605?hash=item2f2bacfebd%3Ag%3AnDUAAOSwJihcZDpW&LH_Auction=1
2019-04-06 00:00:00,"Sold Apr 6 , 2019 RARE ANCIENT VIKING BRONZE LARGE ARROW HEAD 9 with CENTURY AD ( 4 ) ",9.84,0,viking | ,weapon | ,metal | ,"Forest Row, East Sussex, United Kingdom"
