Object,Price,Location,Seller,Link
"Oct 5, 2019 3 Pirate Era - 1600's Early America Spanish Bronze Cobs Exact Lot Shown 1911",$15.50,"Saint Paul, Minnesota, United States",estatebureau,https://www.ebay.com/itm/3-Pirate-Era-1600s-Early-America-Spanish-Bronze-Cobs-Exact-Lot-Shown-1911/372790113895?hash=item56cc05b667%3Ag%3A6dAAAOSwQ8xdcAMg&LH_Auction=1
"Oct 5, 2019 PRE-COLUMBIAN_Mesoamerican_Pair of Large Spool Beads_42.3 x 20.6mm_43.3 x 21mm",$20.49,"Miami, Florida, United States",worldtraveler57,https://www.ebay.com/itm/PRE-COLUMBIAN-Mesoamerican-Pair-of-Large-Spool-Beads-42-3-x-20-6mm-43-3-x-21mm/333340592379?hash=item4d9ca5c8fb%3Ag%3AY1MAAOSwoCddi9s6&LH_Auction=1
"Oct 5, 2019 Decoration Peace Sign Hand Gesture Peace Sign. Used however essentially new.",$6.03,"Bowie, Maryland, United States",chger91,https://www.ebay.com/itm/Decoration-Peace-Sign-Hand-Gesture-Peace-Sign-Used-however-essentially-new/333343817801?hash=item4d9cd70049%3Ag%3AszIAAOSwn1RdasPq&LH_Auction=1
"Oct 5, 2019 PRE-COLUMBIAN_Mesoamerican_Greenstone Jade Bead_13.7 x 10.9 x 5.4mm",$9.99,"Miami, Florida, United States",worldtraveler57,https://www.ebay.com/itm/PRE-COLUMBIAN-Mesoamerican-Greenstone-Jade-Bead-13-7-x-10-9-x-5-4mm/333340450696?hash=item4d9ca39f88%3Ag%3AFNQAAOSw30Fdi6va&LH_Auction=1
"Oct 5, 2019 PRE-COLUMBIAN_Mesoamerican_Greenstone Jade Stone Bead_14.2 x 11.1 x 6.1mm",$12.99,"Miami, Florida, United States",worldtraveler57,https://www.ebay.com/itm/PRE-COLUMBIAN-Mesoamerican-Greenstone-Jade-Stone-Bead-14-2-x-11-1-x-6-1mm/352802841763?hash=item5224b024a3%3Ag%3AUHMAAOSwMAxdi31b&LH_Auction=1
"Oct 5, 2019 PRE-COLUMBIAN_Mesoamerican_Green Jade Small Bead_9.1 x 11.4 x 5.5mm",$13.49,"Miami, Florida, United States",worldtraveler57,https://www.ebay.com/itm/PRE-COLUMBIAN-Mesoamerican-Green-Jade-Small-Bead-9-1-x-11-4-x-5-5mm/333340234177?hash=item4d9ca051c1%3Ag%3A%7EP0AAOSwvlVdi3J3&LH_Auction=1
"Oct 5, 2019 PRE-COLUMBIAN_Mesoamerican_Round Black_Pumpkin Bead_12.9 x 18.4 x 18.7mm",$21.50,"Miami, Florida, United States",worldtraveler57,https://www.ebay.com/itm/PRE-COLUMBIAN-Mesoamerican-Round-Black-Pumpkin-Bead-12-9-x-18-4-x-18-7mm/352802789485?hash=item5224af586d%3Ag%3AWpkAAOSwvF9di2qg&LH_Auction=1
"Oct 4, 2019 3 Pirate Era - 1600's Early America Spanish Bronze Cobs Exact Lot Shown 1912",$7.50,"Saint Paul, Minnesota, United States",estatebureau,https://www.ebay.com/itm/3-Pirate-Era-1600s-Early-America-Spanish-Bronze-Cobs-Exact-Lot-Shown-1912/372788850339?hash=item56cbf26ea3%3Ag%3AxMAAAOSwlJhdcAMW&LH_Auction=1
"Oct 4, 2019 AUTHENTIC SALVAGED HARDSTONE SPUD FROM MILWAUKEE COUNTY, WISCONSIN",$41.00,"Schaumburg, Illinois, United States",rocketflyer,https://www.ebay.com/itm/AUTHENTIC-SALVAGED-HARDSTONE-SPUD-FROM-MILWAUKEE-COUNTY-WISCONSIN/392421710318?hash=item5b5e2819ee%3Ag%3A9MUAAOSwHppdeSbb&LH_Auction=1
"Oct 4, 2019 AUTHENTIC PENDANT, CACHE BLADE FROM THE A.E. AVERY COLLECTION, CATALOGED 1943",$71.96,"Schaumburg, Illinois, United States",rocketflyer,https://www.ebay.com/itm/AUTHENTIC-PENDANT-CACHE-BLADE-FROM-THE-A-E-AVERY-COLLECTION-CATALOGED-1943/362751791178?hash=item5475b1104a%3Ag%3AhwEAAOSw7XxdeSVX&LH_Auction=1
"Oct 4, 2019 NICE AUTHENTIC MOLINE CHERT DOVETAIL FROM THE LARRY APADACA COLLECTION",$56.00,"Schaumburg, Illinois, United States",rocketflyer,https://www.ebay.com/itm/NICE-AUTHENTIC-MOLINE-CHERT-DOVETAIL-FROM-THE-LARRY-APADACA-COLLECTION/392421650652?hash=item5b5e2730dc%3Ag%3AW1oAAOSwqXxdLMPB&LH_Auction=1
"Oct 4, 2019 NEAT Pre ColumbiaN PARROT  BIRD DESIGN,VESSEL POT  8"" TALL",$56.00,"Yucaipa, California, United States",rodregimbal2011,https://www.ebay.com/itm/NEAT-Pre-ColumbiaN-PARROT-BIRD-DESIGN-VESSEL-POT-8-TALL/312784215092?hash=item48d3645c34%3Ag%3AOZcAAOSw6dtdjpo%7E&LH_Auction=1
"Oct 4, 2019 Large Pre-Columbian Green Black Jade Rock Bead, Authentic from reputable dealer",$49.99,"Santa Barbara, California, United States",infinitiques,https://www.ebay.com/itm/Large-Pre-Columbian-Green-Black-Jade-Rock-Bead-Authentic-from-reputable-dealer/223686050628?hash=item3414ba4344%3Ag%3AGioAAOSwl5NdKiCF&LH_Auction=1
"Oct 4, 2019 jewlery",$360.00,"Westminster, California, United States",tuda-5,https://www.ebay.com/itm/jewlery/352813618398?hash=item52255494de%3Ag%3A8oIAAOSwPNBdXaGZ&LH_Auction=1
"Oct 4, 2019 New Home Midget' across top, stamped 'Light Running New Home,' and patent dates",$95.00,"Brooklyn, New York, United States",bernicfrase-6,https://www.ebay.com/itm/New-Home-Midget-across-top-stamped-Light-Running-New-Home-and-patent-dates/183981701125?hash=item2ad629f805%3Ag%3AgAQAAOSwO6BdaD-Y&LH_Auction=1
"Oct 4, 2019 Lot of 4 ""Two Bits"" Early America Spanish Pirate Cob #7a",$8.59,"Saint Paul, Minnesota, United States",estatebureau,https://www.ebay.com/itm/Lot-of-4-Two-Bits-Early-America-Spanish-Pirate-Cob-7a/233355208693?hash=item36550de7f5%3Ag%3AZvYAAOSwEX1djNC0&LH_Auction=1
"Oct 4, 2019 Pre-Columbian Translucent Tubular Bead, Stone Bead, Costa Rica,  Authentic",$9.99,"West Palm Beach, Florida, United States",us.e548,https://www.ebay.com/itm/Pre-Columbian-Translucent-Tubular-Bead-Stone-Bead-Costa-Rica-Authentic/153660974632?hash=item23c6e86628%3Ag%3As7QAAOSwQG9dji4B&LH_Auction=1
"Oct 4, 2019 Lot of 4 ""Two Bits"" Early America Spanish Pirate Cob #8a",$8.09,"Saint Paul, Minnesota, United States",estatebureau,https://www.ebay.com/itm/Lot-of-4-Two-Bits-Early-America-Spanish-Pirate-Cob-8a/233354928591?hash=item365509a1cf%3Ag%3AEIIAAOSwatddSE%7EQ&LH_Auction=1
"Oct 4, 2019 Pre-Columbian Jade Beads, Jade Beads Pair of 2 Central America",$11.50,"West Palm Beach, Florida, United States",us.e548,https://www.ebay.com/itm/Pre-Columbian-Jade-Beads-Jade-Beads-Pair-of-2-Central-America/153660944535?hash=item23c6e7f097%3Ag%3Aox8AAOSwwD1djiZf&LH_Auction=1
"Oct 4, 2019 Pre-Columbian Jade Beads, Jade Beads Pair of 2 Central America",$14.50,"West Palm Beach, Florida, United States",us.e548,https://www.ebay.com/itm/Pre-Columbian-Jade-Beads-Jade-Beads-Pair-of-2-Central-America/153660944535?hash=item23c6e7f097%3Ag%3Aox8AAOSwwD1djiZf&LH_Auction=1
