Object,Price,Location,Seller,Link
"Oct 5, 2019 INTACT BYZANTINE BRONZE CARVED SQUARE WEIGHT FOR 1 SOLIDUS CIRCA 500-700 AD",$10.45,"CYPRUS, Cyprus",ancientground,https://www.ebay.com/itm/INTACT-BYZANTINE-BRONZE-CARVED-SQUARE-WEIGHT-FOR-1-SOLIDUS-CIRCA-500-700-AD/392445066485?hash=item5b5f8c7cf5%3Ag%3AQsgAAOSwihtdi0U0&LH_Auction=1
"Oct 5, 2019 RARE BYZANTINE BRONZE BELT PLATE BUCKLE DECORATED CIRCA 700 AD",$30.74,"CYPRUS, Cyprus",ancientground,https://www.ebay.com/itm/RARE-BYZANTINE-BRONZE-BELT-PLATE-BUCKLE-DECORATED-CIRCA-700-AD/202786499807?hash=item2f37046cdf%3Ag%3AP8YAAOSwoPJdi0G%7E&LH_Auction=1
"Oct 5, 2019 15 Orange Ancient & Medieval Glass Beads Roman Viking Venetian Byzantine Old",$9.95,"Auburn, Alabama, United States",worleyenterprisesinternationalllc,https://www.ebay.com/itm/15-Orange-Ancient-Medieval-Glass-Beads-Roman-Viking-Venetian-Byzantine-Old/274029876507?hash=item3fcd74151b%3Ag%3ApmMAAOSwJOldd5Sq&LH_Auction=1
"Oct 5, 2019 Medieval Byzantine & Post Middle Ages Artifacts Lot Cristian Cross Amulet Old 2",$24.95,"Auburn, Alabama, United States",worleyenterprisesinternationalllc,https://www.ebay.com/itm/Medieval-Byzantine-Post-Middle-Ages-Artifacts-Lot-Cristian-Cross-Amulet-Old-2/274029876509?hash=item3fcd74151d%3Ag%3ADu4AAOSwttBdeq81&LH_Auction=1
"Oct 5, 2019 Intact-Circa 500-700 AD Byzantine Mammoth B0NE Gaming Dice",$69.83,"CYPRUS, Cyprus",ancientground,https://www.ebay.com/itm/Intact-Circa-500-700-AD-Byzantine-Mammoth-B0NE-Gaming-Dice/392445032918?hash=item5b5f8bf9d6%3Ag%3Ak-cAAOSwnCtdiz3n&LH_Auction=1
"Oct 5, 2019 CIRCA 1000-1300 AD BYZANTINE ERA SILVER PENDANT DEPICTING HORSEMAN - WEARABLE",$6.76,"CYPRUS, Cyprus",ancientground,https://www.ebay.com/itm/CIRCA-1000-1300-AD-BYZANTINE-ERA-SILVER-PENDANT-DEPICTING-HORSEMAN-WEARABLE/392444996232?hash=item5b5f8b6a88%3Ag%3AKJQAAOSwXk1dizps&LH_Auction=1
"Oct 5, 2019 ANCIENT BYZANTINE SILVER RING WITH   STONE",$22.50,"SR, Bosnia and Herzegovina",savas013,https://www.ebay.com/itm/ANCIENT-BYZANTINE-SILVER-RING-WITH-STONE/274029761019?hash=item3fcd7251fb%3Ag%3AqPoAAOSw72Vdj5D-&LH_Auction=1
"Oct 5, 2019 BYZANTINE BRONZE THREE RING",$4.99,"SR, Bosnia and Herzegovina",savas013,https://www.ebay.com/itm/BYZANTINE-BRONZE-THREE-RING/274029757854?hash=item3fcd72459e%3Ag%3Asq8AAOSwhZpdj4sh&LH_Auction=1
"Oct 5, 2019 ANTIQUE/ANCIENT ROMAN GREEK BYZANTINE BRONZE HEAD STAMP SEAL RELIC",$15.50,"San Diego, California, United States",dead-guy-stuff,https://www.ebay.com/itm/ANTIQUE-ANCIENT-ROMAN-GREEK-BYZANTINE-BRONZE-HEAD-STAMP-SEAL-RELIC/352801633758?hash=item52249db5de%3Ag%3A-lIAAOSwwb9dinZP&LH_Auction=1
"Oct 5, 2019 Authentic Ancient Bronze Roman or Byzantine Ring Artifact Antiquity Old",$13.50,"Cincinnati, Ohio, United States",bestbuyskills,https://www.ebay.com/itm/Authentic-Ancient-Bronze-Roman-or-Byzantine-Ring-Artifact-Antiquity-Old/312785270936?hash=item48d3747898%3Ag%3AwqIAAOSwyyJdj6yE&LH_Auction=1
