Object,Price,Location,Seller,Link
"Oct 6, 2019 A336. Celtic style bronze boar figurine.",$16.00,"Pavlikeni, Bulgaria",axelina3,https://www.ebay.com/itm/A336-Celtic-style-bronze-boar-figurine/333344721116?hash=item4d9ce4c8dc%3Ag%3AnSMAAOSwVc9dkOLO&LH_Auction=1
"Oct 5, 2019 Cimmerian bronze Ax  6 - 4 century BC.",$200.50,"Kiev, Ukraine",sergii78,https://www.ebay.com/itm/Cimmerian-bronze-Ax-6-4-century-BC/233354332840?hash=item3655008aa8%3Ag%3A2bUAAOSwclldj9mE&LH_Auction=1
"Oct 5, 2019 Ancient CELTIC Proto BELL Money Circa 7th-3rd Century BC - UNIQUE",$19.99,"SR, Bosnia and Herzegovina",savas013,https://www.ebay.com/itm/Ancient-CELTIC-Proto-BELL-Money-Circa-7th-3rd-Century-BC-UNIQUE/274029763375?hash=item3fcd725b2f%3Ag%3AKhkAAOSwaSBdj48R&LH_Auction=1
"Oct 5, 2019 RARE CELTIC SILVER FIBULA BROOCH CIRCA 100 BC - INTACT",$15.98,"CYPRUS, Cyprus",ancientground,https://www.ebay.com/itm/RARE-CELTIC-SILVER-FIBULA-BROOCH-CIRCA-100-BC-INTACT/392444909517?hash=item5b5f8a17cd%3Ag%3Anf0AAOSwpn9diynq&LH_Auction=1
"Oct 5, 2019 ANCIENT CELTIC BRONZE RING IN THE FORM OF A COILED (HEAD SNAKE) CIRCA 100AD 7.9g",$19.67,"London, United Kingdom",roman.land,https://www.ebay.com/itm/ANCIENT-CELTIC-BRONZE-RING-IN-THE-FORM-OF-A-COILED-HEAD-SNAKE-CIRCA-100AD-7-9g/264476180596?hash=item3d94024074%3Ag%3ApeIAAOSwe4tdieah&LH_Auction=1
"Oct 5, 2019 Bronze Acinaces Dagger / Amulet / Koban / Coin / Scythian 1000BC.",$100.00,"Moscow, Russian Federation",antique-museum,https://www.ebay.com/itm/Bronze-Acinaces-Dagger-Amulet-Koban-Coin-Scythian-1000BC/223683682868?hash=item3414962234%3Ag%3ANb4AAOSwanhdc9Te&LH_Auction=1
"Oct 4, 2019 Celtic La Tene I Bronze Fibula One-Piece Brooch",$15.00,"Albuquerque, New Mexico, United States",neoliah,https://www.ebay.com/itm/Celtic-La-Tene-I-Bronze-Fibula-One-Piece-Brooch/264482195604?hash=item3d945e0894%3Ag%3AfFoAAOSwIsddbEp-&LH_Auction=1
"Oct 4, 2019 Celtic Bronze militair horse pendant, complete",$1.00,"Stadskanaal, Netherlands",sylvester.ekaterina,https://www.ebay.com/itm/Celtic-Bronze-militair-horse-pendant-complete/352799954920?hash=item52248417e8%3Ag%3ApvoAAOSwuP9diLOL&LH_Auction=1
"Oct 4, 2019 Celtic Bronze la-tene spiral Brooch, complete",$24.20,"Stadskanaal, Netherlands",sylvester.ekaterina,https://www.ebay.com/itm/Celtic-Bronze-la-tene-spiral-Brooch-complete/372780604867?hash=item56cb749dc3%3Ag%3Aak4AAOSwbHpdiLFS&LH_Auction=1
"Oct 4, 2019 4big-ANCIENT CELTIC BRONZE PROTO RING MONEY CIRCA 500 BC VERY RARE AND SCARCE",$7.63,"Novoarhangelsk, Ukraine",scandinavian-viking,https://www.ebay.com/itm/4big-ANCIENT-CELTIC-BRONZE-PROTO-RING-MONEY-CIRCA-500-BC-VERY-RARE-AND-SCARCE/143396100700?hash=item216312da5c%3Ag%3AHDgAAOSwsppdjg0I&LH_Auction=1
